run_id,evidence_identity,task_id,base_graph_id,base_instance_id,size_stratum,stress_level,n_edges,dilution_score,feasible_state_fraction,optimizer_seed,objective_id,objective_definition,depth,optimizer,eval_budget,initial_parameters,terminal_parameters,objective_start,objective_final,objective_improvement,p_feas,p_opt,p_opt_given_feasible,log_feasibility_gain,nfev,runtime_s,optimizer_status,optimizer_message,numerically_valid,execution_status,failure_reason,selected_for_p3,config_sha256,raw_statevector_persisted,peak_memory_mb
phase2-p2-869f443069a560ae0c41,PREREGISTERED_HELDOUT_OBJECTIVE_CONFIRMATION,task-v2-b9e5059853ca,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D1,7,2.1072099696478683,0.0078125,1103,P2_MEAN_ENERGY_PREPARATION,E_theta[H_C],2,COBYLA,120,"[1.4361119332668082, 4.6766136583430296, 1.8287983773432719, 0.554097077555417]","[3.1085426944418537, 4.313459417180652, 2.4583768833872437, 0.16733657407357344]",2.73211127827817,1.7648232491016975,0.9672880291764724,0.0913477247916379,0.0913477247916379,1.0,1.0679077044481686,120,0.3146448405459523,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,True,SUCCESS,,True,0e87433b5b33ad10b58affe40162e1cbdbcd4bcb5ec45d9bd38c6222a5549a2f,False,121.57421875
phase2-p2-848aa721e8980427b9fe,PREREGISTERED_HELDOUT_OBJECTIVE_CONFIRMATION,task-v2-b9e5059853ca,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D1,7,2.1072099696478683,0.0078125,2207,P2_MEAN_ENERGY_PREPARATION,E_theta[H_C],2,COBYLA,120,"[4.119365739193051, 4.0465795222369225, 1.5369649905613294, 0.28561357469155796]","[3.4134864159072262, 4.37042799764865, 2.4558295651525426, 0.15522430758431216]",2.703788425482704,1.765646829815227,0.9381415956674766,0.0957059325130072,0.0957059325130072,1.0,1.0881488288229135,120,0.2977315746247768,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,True,SUCCESS,,False,0e87433b5b33ad10b58affe40162e1cbdbcd4bcb5ec45d9bd38c6222a5549a2f,False,121.57421875
phase2-p2-9aa6e2ef9be20c16ee39,PREREGISTERED_HELDOUT_OBJECTIVE_CONFIRMATION,task-v2-b9e5059853ca,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D1,7,2.1072099696478683,0.0078125,3301,P2_MEAN_ENERGY_PREPARATION,E_theta[H_C],2,COBYLA,120,"[2.8746040698350956, 3.2295534178963874, 1.3381083226815658, 0.4324890662459698]","[3.430260591010186, 4.151446308247917, 2.455922603177753, 0.15866273029574696]",2.916844813705569,1.7723253010977826,1.1445195126077865,0.0870976606895876,0.0870976606895876,1.0,1.0472164603243397,120,0.2876124503090977,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,True,SUCCESS,,False,0e87433b5b33ad10b58affe40162e1cbdbcd4bcb5ec45d9bd38c6222a5549a2f,False,121.64453125
phase2-p2-79bfb4845135fd2b1a3e,PREREGISTERED_HELDOUT_OBJECTIVE_CONFIRMATION,task-v2-9065c1a0a08c,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D2,7,1.806179973983887,0.015625,1103,P2_MEAN_ENERGY_PREPARATION,E_theta[H_C],2,COBYLA,120,"[1.4361119332668082, 4.6766136583430296, 1.8287983773432719, 0.554097077555417]","[1.4160647665344457, 4.327460452442732, 2.5090888957793176, 0.20577326930285197]",2.0190722817307827,1.4005558128107762,0.6185164689200064,0.1925713007687176,0.1509643822984972,0.7839401909623532,1.0907715379432534,120,0.2837743982672691,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,True,SUCCESS,,True,0e87433b5b33ad10b58affe40162e1cbdbcd4bcb5ec45d9bd38c6222a5549a2f,False,121.5390625
phase2-p2-8813c135a3b2af0e6b19,PREREGISTERED_HELDOUT_OBJECTIVE_CONFIRMATION,task-v2-9065c1a0a08c,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D2,7,1.806179973983887,0.015625,2207,P2_MEAN_ENERGY_PREPARATION,E_theta[H_C],2,COBYLA,120,"[4.119365739193051, 4.0465795222369225, 1.5369649905613294, 0.28561357469155796]","[1.2731651863617104, 6.356342243225674, 0.7786747103784103, 1.9995114396279638]",2.1801345647881294,1.473746018728887,0.7063885460592421,0.0757076261112468,0.0735877301909732,0.9719989117455808,0.6853196026413937,120,0.3070905022323131,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,True,SUCCESS,,False,0e87433b5b33ad10b58affe40162e1cbdbcd4bcb5ec45d9bd38c6222a5549a2f,False,121.5390625
phase2-p2-21774ae4c5add1c222ba,PREREGISTERED_HELDOUT_OBJECTIVE_CONFIRMATION,task-v2-9065c1a0a08c,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D2,7,1.806179973983887,0.015625,3301,P2_MEAN_ENERGY_PREPARATION,E_theta[H_C],2,COBYLA,120,"[2.8746040698350956, 3.2295534178963874, 1.3381083226815658, 0.4324890662459698]","[2.096239528598493, 4.29233197195289, 1.2661096016139821, 1.2788689885051685]",2.0359991657527345,1.5412150936367055,0.4947840721160288,0.1751383954964479,0.1310131622098352,0.7480550557658407,1.0495613406514754,120,0.2935587149113416,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,True,SUCCESS,,False,0e87433b5b33ad10b58affe40162e1cbdbcd4bcb5ec45d9bd38c6222a5549a2f,False,121.5390625
phase2-p2-3b825b9d54e025a840d3,PREREGISTERED_HELDOUT_OBJECTIVE_CONFIRMATION,task-v2-07632e755d52,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D3,7,1.630088714928206,0.0234375,1103,P2_MEAN_ENERGY_PREPARATION,E_theta[H_C],2,COBYLA,120,"[1.4361119332668082, 4.6766136583430296, 1.8287983773432719, 0.554097077555417]","[2.250200247560789, 4.270793580028745, 3.151499755542524, -0.47765860019613887]",1.8306538937888748,1.2373877527038526,0.5932661410850222,0.2530761538121439,0.1024087301309312,0.4046557867595393,1.033339940466956,120,0.3472380507737398,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,True,SUCCESS,,True,0e87433b5b33ad10b58affe40162e1cbdbcd4bcb5ec45d9bd38c6222a5549a2f,False,121.640625
phase2-p2-847333f1eb18dee5f552,PREREGISTERED_HELDOUT_OBJECTIVE_CONFIRMATION,task-v2-07632e755d52,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D3,7,1.630088714928206,0.0234375,2207,P2_MEAN_ENERGY_PREPARATION,E_theta[H_C],2,COBYLA,120,"[4.119365739193051, 4.0465795222369225, 1.5369649905613294, 0.28561357469155796]","[4.581991610863838, 4.6448854765735685, 2.163452629974011, 1.0207659891959768]",1.8589667496607312,1.6374813465744018,0.2214854030863293,0.063030853787033,0.0199069528755432,0.3158287041899249,0.4296419048475044,120,0.2995827049016952,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,True,SUCCESS,,False,0e87433b5b33ad10b58affe40162e1cbdbcd4bcb5ec45d9bd38c6222a5549a2f,False,121.640625
phase2-p2-4999fb535421937b2595,PREREGISTERED_HELDOUT_OBJECTIVE_CONFIRMATION,task-v2-07632e755d52,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D3,7,1.630088714928206,0.0234375,3301,P2_MEAN_ENERGY_PREPARATION,E_theta[H_C],2,COBYLA,120,"[2.8746040698350956, 3.2295534178963874, 1.3381083226815658, 0.4324890662459698]","[3.5915290698459725, 3.371157426134933, 1.9628421533766984, 0.6571886044740077]",2.0385851237220103,1.706665771736143,0.3319193519858672,0.0765131289743599,0.0316284186552938,0.413372437897459,0.5138246775575999,120,0.2948886044323444,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,True,SUCCESS,,False,0e87433b5b33ad10b58affe40162e1cbdbcd4bcb5ec45d9bd38c6222a5549a2f,False,121.640625
phase2-p2-18e9ce4d5bbe0d079ca4,PREREGISTERED_HELDOUT_OBJECTIVE_CONFIRMATION,task-v2-6dd269836f23,g-c45ecbe0242c6377,v2-S1-b003-g-c45ecbe0242c6377,S1,D1,7,2.1072099696478683,0.0078125,1103,P2_MEAN_ENERGY_PREPARATION,E_theta[H_C],2,COBYLA,120,"[1.4361119332668082, 4.6766136583430296, 1.8287983773432719, 0.554097077555417]","[1.6873354952020616, 4.345891221437398, 2.5024627152019523, 0.16752971371760345]",2.3894626676325457,1.7162170564968156,0.6732456111357301,0.0720814001688172,0.0720814001688172,1.0,0.9650331837965256,120,0.3539403257891536,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,True,SUCCESS,,False,0e87433b5b33ad10b58affe40162e1cbdbcd4bcb5ec45d9bd38c6222a5549a2f,False,121.2421875
