section_id,section,purpose,claims,theorems,empirical_evidence,figures,tables,word_page_budget,appendix_material,reviewer_risks
1,Introduction,Pose the controlled question of how objective design changes feasible entry under representation-induced dilution.,C-E5-H1;C-E5-H2;C-E6-SCALING;C-LIM-NOADV,,E0-E6 overview,F5,,900 words,,Do not lead with theorem novelty or quantum advantage.
2,RCSP representations and access models,"Separate explicit RCSP, edge-bit state space and route-attribute query domain.",C-T5;C-T6;C-T7;C-LIM-MODELS,T5-T7 scoped,E0 task encoding,F1;F2,T1,1100 words,Full proofs,Reviewers may conflate raw density with problem hardness.
3,Controlled experimental design and frozen evidence,"Explain distinct-feasible-set construction, Hamiltonian scale control, objectives and preregistered split.",C-E0-UNIVERSE;C-E1-SCALE,,E0;E1,F5,T2,1300 words,Protocols; manifests; scale tables,Synthetic family and exact-statevector scope.
4,Discovery-stage optimizer and objective attribution,Show why the p=3 anomaly was diagnosed and how O3 was selected without leaking into held-out inference.,C-E2-PILOT;C-E3-OPT;C-E4-OBJDISC,,E2-E4,F5,T3,1300 words,Detailed pilot/optimizer figures,Do not pool discovery and confirmation.
5,Preregistered held-out results,"Present H1/H2 first, then secondary P_opt and tail-mechanism audits.",C-E5-H1;C-E5-H2;C-E5-POPT;C-E5-TAIL,,E5,F6;F7,T4,1500 words,Full task contrasts; resampling details,O2 must remain a mechanistic ceiling.
6,Scaling response and resource ceiling,Report development/interpolation/extrapolation heterogeneity and m=22 censoring.,C-E6-SCALING;C-E6-BOTTLENECK,,E6,F8,T5,1100 words,All model diagnostics,Never call this a confirmed global scaling law.
7,Membership-only boundary and structure-cost interpretation,Use black-box theory to explain what the experiment does and does not evade; expose relocation costs.,C-T1;C-T2;C-T3;C-T4;C-T8;C-T9;C-T10;C-T11;C-COST,"T1-T4,T8-T11 summarized",Theory validation only,F3;F4;F9,T6,1300 words,Proofs; ledger,Theory and experiment have different access models; novelty unresolved.
8,Related work,"Position Grover/search/advice, constrained QAOA, CVaR and RCSP computational work.",C-E4-OBJDISC;C-COST;C-LIM-MODELS,,,,,1100 words,Expanded prior-art matrix,CVaR and mixer cost relocation clearly preexist.
9,Limitations and open problems,"Freeze proven, empirical and theory limitations plus external-review needs.",C-LIM-NOADV;C-LIM-MODELS;C-E6-SCALING,,E6 censoring,,,900 words,,Do not present future work as completed evidence.
10,Conclusion,Restate held-out empirical result and scoped structure-cost lesson.,C-E5-H1;C-E5-H2;C-E6-SCALING;C-COST,,E5-E6,,,400 words,,"No priority, advantage or universal-hardness language."
