claim_id,section,paragraph,wording,source,status,scope
C-E0-UNIVERSE,sections/01_introduction.tex,1,"Full-space Penalty-X QAOA begins from the uniform state over all 2^m edge-bit strings and evolves with a non-feasibility-preserving transverse-X mixer. For a constrained route problem, only a small fraction of those strings may encode feasible routes. Low feasible-sampling probability is therefore plausible, but it has several possible causes: dilution induced by the representation, an uncontrolled penalty scale, classical optimizer failure, misalignment between the training loss and feasible entry, or a genuine limitation of the variational family. These mechanisms lead to different scientific conclusions and should be separated before shallow-QAOA failure is interpreted.",results/phase0/summary.json;results/phase0_v2_dilution_stress/summary.json,SUPPORTED,Construction audit
C-E1-SCALE,sections/01_introduction.tex,1,"Full-space Penalty-X QAOA begins from the uniform state over all 2^m edge-bit strings and evolves with a non-feasibility-preserving transverse-X mixer. For a constrained route problem, only a small fraction of those strings may encode feasible routes. Low feasible-sampling probability is therefore plausible, but it has several possible causes: dilution induced by the representation, an uncontrolled penalty scale, classical optimizer failure, misalignment between the training loss and feasible entry, or a genuine limitation of the variational family. These mechanisms lead to different scientific conclusions and should be separated before shallow-QAOA failure is interpreted.",results/phase0_v2_dilution_stress/HAMILTONIAN_SCALE_AUDIT.md;results/phase0_v2_dilution_stress/hamiltonian_scale_audit.csv,SUPPORTED,140 tasks
C-E3-OPT,sections/01_introduction.tex,1,"Full-space Penalty-X QAOA begins from the uniform state over all 2^m edge-bit strings and evolves with a non-feasibility-preserving transverse-X mixer. For a constrained route problem, only a small fraction of those strings may encode feasible routes. Low feasible-sampling probability is therefore plausible, but it has several possible causes: dilution induced by the representation, an uncontrolled penalty scale, classical optimizer failure, misalignment between the training loss and feasible entry, or a genuine limitation of the variational family. These mechanisms lead to different scientific conclusions and should be separated before shallow-QAOA failure is interpreted.",results/phase1_1_optimization_diagnostic/summary.json;results/phase1_1_optimization_diagnostic/nested_ansatz_identity.csv,SUPPORTED_WITH_SCOPE_LIMITS,Mechanistic
C-E4-OBJDISC,sections/01_introduction.tex,1,"Full-space Penalty-X QAOA begins from the uniform state over all 2^m edge-bit strings and evolves with a non-feasibility-preserving transverse-X mixer. For a constrained route problem, only a small fraction of those strings may encode feasible routes. Low feasible-sampling probability is therefore plausible, but it has several possible causes: dilution induced by the representation, an uncontrolled penalty scale, classical optimizer failure, misalignment between the training loss and feasible entry, or a genuine limitation of the variational family. These mechanisms lead to different scientific conclusions and should be separated before shallow-QAOA failure is interpreted.",results/phase1_2_objective_alignment/summary.json,SUPPORTED_WITH_SCOPE_LIMITS,No confirmatory pooling
C-E0-UNIVERSE,sections/01_introduction.tex,2,"The benchmark contains 140 distinct-cardinality tasks on 25 layered directed acyclic base graphs, with zero duplicate primary feasible sets. Its raw edge-bit feasible fraction ranges from approximately 1.9110^-6 to 2.3410^-2. Because changing a resource budget can also change the numerical span of a penalty Hamiltonian, we first freeze a global scale-controlled contract and verify exact RCSP ground-state preservation on all 140 tasks. This controls an important confound while leaving the representation itself fixed.",results/phase0/summary.json;results/phase0_v2_dilution_stress/summary.json,SUPPORTED,Construction audit
C-E1-SCALE,sections/01_introduction.tex,2,"The benchmark contains 140 distinct-cardinality tasks on 25 layered directed acyclic base graphs, with zero duplicate primary feasible sets. Its raw edge-bit feasible fraction ranges from approximately 1.9110^-6 to 2.3410^-2. Because changing a resource budget can also change the numerical span of a penalty Hamiltonian, we first freeze a global scale-controlled contract and verify exact RCSP ground-state preservation on all 140 tasks. This controls an important confound while leaving the representation itself fixed.",results/phase0_v2_dilution_stress/HAMILTONIAN_SCALE_AUDIT.md;results/phase0_v2_dilution_stress/hamiltonian_scale_audit.csv,SUPPORTED,140 tasks
C-E2-PILOT,sections/01_introduction.tex,3,"Nesting then supplies a direct optimizer diagnostic. A p=2 state embeds exactly in the p=3 ansatz by setting the added angles _3=_3=0. The zero-layer identity holds in all 168 seed-level checks. In 29 of 168 original runs, the reported p=3 mean-energy objective was worse than this embedded p=2 state, which certifies optimizer inadequacy for those runs. Continuation repairs the objective in all 29 and improves feasibility gain in 27. This does not certify the other 139 runs as global optima. Moreover, across the matched comparisons, lower mean energy coincides with lower feasibility gain in 82 of 168 cases: optimizer repair and objective alignment are separate questions.",results/phase1_pilot_v1/pilot_summary.json,DESCRIPTIVE_ONLY,Exploratory
C-E3-OPT,sections/01_introduction.tex,3,"Nesting then supplies a direct optimizer diagnostic. A p=2 state embeds exactly in the p=3 ansatz by setting the added angles _3=_3=0. The zero-layer identity holds in all 168 seed-level checks. In 29 of 168 original runs, the reported p=3 mean-energy objective was worse than this embedded p=2 state, which certifies optimizer inadequacy for those runs. Continuation repairs the objective in all 29 and improves feasibility gain in 27. This does not certify the other 139 runs as global optima. Moreover, across the matched comparisons, lower mean energy coincides with lower feasibility gain in 82 of 168 cases: optimizer repair and objective alignment are separate questions.",results/phase1_1_optimization_diagnostic/summary.json;results/phase1_1_optimization_diagnostic/nested_ansatz_identity.csv,SUPPORTED_WITH_SCOPE_LIMITS,Mechanistic
C-E4-OBJDISC,sections/01_introduction.tex,4,"To examine the second question, we keep the Hamiltonian, circuit, depth, and optimizer class fixed while changing only the classical scalar loss. The four losses are mean energy (O0), expected penalty (O1), exact feasible probability (O2), and lower-tail CVaR with =0.10 (O3). O2 is a mechanistic statevector capacity control, not a deployable objective or proposed algorithm: if the same p=3 ansatz and matched optimizer can reach more feasible mass when directly asked to do so, the O0 gap cannot be assigned entirely to ansatz capacity. CVaR is a preexisting variational objective barkoutsos2020cvar; its role here is evaluated rather than claimed as novel. On 56 discovery tasks from 10 base graphs, O3 closes a median 97.9\% of the O2-versus-O0 feasible-capacity gap. O3 and =0.10 are selected u",results/phase1_2_objective_alignment/summary.json,SUPPORTED_WITH_SCOPE_LIMITS,No confirmatory pooling
C-E5-H1,sections/01_introduction.tex,5,"The strongest positive evidence comes from the preregistered held-out study: 84 tasks on 15 nonoverlapping base graphs. At the preregistered graph analysis unit, the O3-minus-O0 effect in logarithmic feasibility gain is +0.3547 decades, with one-sided 95\% lower bound +0.2374 and Holm-adjusted exact sign-flip p=2.4410^-4. Against the O2 capacity control, the effect is -0.0086 decades with lower bound -0.0360, above the preregistered non-inferiority margin of -0.10 decades. As secondary outcomes, O3 increases optimal-route probability on 80 of 84 tasks and increases both feasible and optimal-route probability on 79 of 84.",results/phase2_confirmatory_v1/confirmatory_statistics.json,SUPPORTED_WITH_SCOPE_LIMITS,Penalty-X p=3 statevector
