figure_id,caption,canonical_input_files,filter,aggregation,script,output_file
F1,Controlled attribution pipeline,configs/phase0_v2_dilution_stress.yaml; configs/phase1_2_objective_alignment.yaml,frozen canonical rows only,conceptual protocol sequence,paper_scripts/build_paper_assets.py,figures/fig01_experimental_concept.pdf
F2,Dilution coverage and Hamiltonian scale control,results/phase0_v2_dilution_stress/task_characterization.csv; results/phase0_v2_dilution_stress/penalty_contract_comparison.csv,frozen canonical rows only,all 140 v2 tasks; raw and controlled spans,paper_scripts/build_paper_assets.py,figures/fig02_dilution_scale_control.pdf
F3,Optimizer attribution,results/phase1_1_optimization_diagnostic/p3_random_vs_embedded.csv; results/phase1_1_optimization_diagnostic/analysis/continuation_paired_comparison.csv,frozen canonical rows only,all 168 matched seed-level rows,paper_scripts/build_paper_assets.py,figures/fig03_optimizer_attribution.pdf
F4,Objective--feasibility misalignment,results/phase1_1_optimization_diagnostic/analysis/continuation_paired_comparison.csv; results/phase1_1_optimization_diagnostic/objective_decomposition.csv,frozen canonical rows only,"random p3 and continuation B1, matched by task and seed; medians",paper_scripts/build_paper_assets.py,figures/fig04_objective_misalignment.pdf
F5,Discovery objective comparison,results/phase1_2_objective_alignment/task_objective_summary.csv; results/phase1_2_objective_alignment/capacity_gap.csv,frozen canonical rows only,56 discovery tasks; paired objective contrasts,paper_scripts/build_paper_assets.py,figures/fig05_objective_discovery.pdf
F6,Preregistered held-out graph-level contrasts,results/phase2_confirmatory_v1/graph_level_contrasts.csv; results/phase2_confirmatory_v1/confirmatory_statistics.json,frozen canonical rows only,15 complete graph means; preregistered H1/H2 inference,paper_scripts/build_paper_assets.py,figures/fig06_heldout_confirmation.pdf
F7,Feasibility/conditional-optimality decomposition,results/phase2_confirmatory_v1/task_level_contrasts.csv,frozen canonical rows only,84 held-out paired task rows; log-ratio identity,paper_scripts/build_paper_assets.py,figures/fig07_feasibility_optimality.pdf
F8,Scaling response and resource censoring,results/phase3_scaling_v1/base_graph_exponents.csv,frozen canonical rows only,75 completed graph-objective exponents grouped by protocol split; m22 shown as censored,paper_scripts/build_paper_assets.py,figures/fig08_scaling_response.pdf
F9,Theory access-model scope,docs/theory/RAW_EDGE_BIT_DILUTION_COUNTEREXAMPLE.md; docs/theory/ADAPTIVE_QUERY_DILUTION_THEOREM.md; docs/theory/POSTERIOR_STRUCTURE_DILUTION_THEOREM.md,frozen canonical rows only,conceptual summary of audited statements,paper_scripts/build_paper_assets.py,figures/fig09_theory_scope.pdf
F10,Structure-cost relocation,results/theory_validation_v3/structure_cost_method_matrix.csv,frozen canonical rows only,selected representative methods; keyword-to-resource-category mapping from canonical burden text,paper_scripts/build_paper_assets.py,figures/fig10_structure_cost_relocation.pdf
F11,Post-hoc finite-shot endpoint robustness,results/posthoc_finite_shot_endpoint_v1/aggregate.csv; results/posthoc_finite_shot_endpoint_v1/exact_reference.csv,frozen canonical rows only,all 84 held-out tasks; frozen O0/O3 endpoints; 20 replicates at 1k/10k/100k shots,paper_scripts/run_posthoc_finite_shot_endpoint.py,figures/fig11_finite_shot_endpoint_robustness.pdf
