failure_id,area,status,evidence,disposition
F001,Theory novelty,NOVELTY_UNRESOLVED,"Exact posterior-projector/advice formulas not located, but adjacent search/advice cores are extensive.",Do not use priority language; seek independent review.
F002,Theorem review independence,OPEN,"Current review is a second machine pass, not external human review.",Send review_package to independent theorists.
F003,Quantum advice scope,OUTSIDE_MODEL,Refreshed or interactive advice is not covered.,Keep explicit nonclaim.
F004,Rich cost oracle,OPEN,Membership-only theorem does not bound CVaR energy access.,State richer information model.
F005,Explicit RCSP hardness,OPEN,Only the attribute random-access subclass has a query bound.,No universal raw-phi or RAM-time claim.
F006,Phase3 m=22,RESOURCE_CENSORED,Resource guard excluded the upper size.,Report censoring; do not complete in synthesis.
F007,Phase3B,PENDING_OUTSIDE_SYNTHESIS,No completed immutable result exists in the source commit.,Exclude from evidence.
F008,Hardware,NOT_TESTED,Evidence uses CPU exact statevector.,List empirical limitation.
F009,External validity,OPEN,Controlled synthetic DAG family only.,Require external reproduction/natural instances later.
F010,TeX compilation,TOOLING_UNAVAILABLE,"No TeX compiler is installed; static brace/environment, input and bibliography checks pass.",Retain TeX sources and compile during external review when tooling is available.
