search_id,search_date,query_family,source_policy,primary_sources_inspected,outcome,exact_match_found,notes
S01,2026-08-29,multiple-marked quantum search lower bounds,PRIMARY_SOURCES_ONLY,PA01;PA02;PA03;PA05,Theta(sqrt(N/M)) core located,COMPONENT_ONLY,Search completeness cannot establish priority; novelty remains unresolved.
S02,2026-08-29,average-case quantum search,PRIMARY_SOURCES_ONLY,PA06;PA07,Distributional query frameworks and prior search located,COMPONENT_ONLY,Search completeness cannot establish priority; novelty remains unresolved.
S03,2026-08-29,hybrid argument quantum search,PRIMARY_SOURCES_ONLY,PA01;PA03,BBBV hybrid and exact optimality located,COMPONENT_ONLY,Search completeness cannot establish priority; novelty remains unresolved.
S04,2026-08-29,arbitrary-phase quantum search bounds,PRIMARY_SOURCES_ONLY,PA04;PA05,Arbitrary-phase amplification located; requested additive coefficient not located,NO,Search completeness cannot establish priority; novelty remains unresolved.
S05,2026-08-29,adaptive quantum query search,PRIMARY_SOURCES_ONLY,PA01;PA03;PA06,General query core located; no exact posterior adaptive formula,COMPONENT_ONLY,Search completeness cannot establish priority; novelty remains unresolved.
S06,2026-08-29,quantum search with classical advice,PRIMARY_SOURCES_ONLY,PA07;PA11;PA13,Prior-distribution and inversion-preprocessing results located,COMPONENT_ONLY,Search completeness cannot establish priority; novelty remains unresolved.
S07,2026-08-29,quantum search with quantum advice,PRIMARY_SOURCES_ONLY,PA09;PA10;PA12;PA13,Quantum advice/inversion tradeoffs located; one-shot d phi statement not located,NO,Search completeness cannot establish priority; novelty remains unresolved.
S08,2026-08-29,search under prior distributions,PRIMARY_SOURCES_ONLY,PA07;PA08,Strong closest prior-search family,COMPONENT_ONLY,Search completeness cannot establish priority; novelty remains unresolved.
S09,2026-08-29,posterior guessing probability,PRIMARY_SOURCES_ONLY,PA14;PA15,Conditional guessing/min-entropy analogues located,COMPONENT_ONLY,Search completeness cannot establish priority; novelty remains unresolved.
S10,2026-08-29,query complexity with preprocessing,PRIMARY_SOURCES_ONLY,PA11;PA12;PA13,Asymptotic time-space/advice tradeoffs located,COMPONENT_ONLY,Search completeness cannot establish priority; novelty remains unresolved.
S11,2026-08-29,data-structure query tradeoffs,PRIMARY_SOURCES_ONLY,PA11;PA13,Function-inversion preprocessing literature located,COMPONENT_ONLY,Search completeness cannot establish priority; novelty remains unresolved.
S12,2026-08-29,function inversion with advice,PRIMARY_SOURCES_ONLY,PA11;PA12;PA13,Classical and quantum advice lower bounds located,COMPONENT_ONLY,Search completeness cannot establish priority; novelty remains unresolved.
S13,2026-08-29,quantum search side information,PRIMARY_SOURCES_ONLY,PA07;PA10;PA14;PA15,Several non-equivalent side-information models located,COMPONENT_ONLY,Search completeness cannot establish priority; novelty remains unresolved.
S14,2026-08-29,quantum state discrimination with side information,PRIMARY_SOURCES_ONLY,PA14;PA15,Information-theoretic side-information results located,COMPONENT_ONLY,Search completeness cannot establish priority; novelty remains unresolved.
S15,2026-08-29,explicit graph input-query lower bounds,PRIMARY_SOURCES_ONLY,PA16;PA17,Adjacency query models located; explicit RAM distinction confirmed,COMPONENT_ONLY,Search completeness cannot establish priority; novelty remains unresolved.
S16,2026-08-29,shortest path quantum query lower bounds,PRIMARY_SOURCES_ONLY,PA16;PA17,Shortest-path graph-query work located,COMPONENT_ONLY,Search completeness cannot establish priority; novelty remains unresolved.
S17,2026-08-29,constrained shortest path quantum query complexity,PRIMARY_SOURCES_ONLY,PA17,No exact explicit-attribute RCSP parallel-path result located,COMPONENT_ONLY,Search completeness cannot establish priority; novelty remains unresolved.
S18,2026-08-29,resource-constrained shortest path query complexity,PRIMARY_SOURCES_ONLY,PA17,Classical RCSP sources and nearby quantum graph queries; exact theorem not located,NO,Search completeness cannot establish priority; novelty remains unresolved.
S19,2026-08-29,representation padding complexity,PRIMARY_SOURCES_ONLY,PA18,General explicit/succinct representation sensitivity located; exact padding counterexample not located,NO,Search completeness cannot establish priority; novelty remains unresolved.
S20,2026-08-29,succinct versus explicit graph complexity,PRIMARY_SOURCES_ONLY,PA18,Foundational succinct graph distinction located,COMPONENT_ONLY,Search completeness cannot establish priority; novelty remains unresolved.
S21,2026-08-29,QAOA query complexity,PRIMARY_SOURCES_ONLY,PA19;PA20;PA23,"Alternating operators, cost relocation and training hardness located",COMPONENT_ONLY,Search completeness cannot establish priority; novelty remains unresolved.
S22,2026-08-29,variational quantum algorithm query complexity,PRIMARY_SOURCES_ONLY,PA23,Training hardness differs from membership-query total-access theorem,COMPONENT_ONLY,Search completeness cannot establish priority; novelty remains unresolved.
S23,2026-08-29,feasible-space dilution QAOA,PRIMARY_SOURCES_ONLY,PA19;PA20,Structured feasible-space methods located; exact dilution theorem not located,NO,Search completeness cannot establish priority; novelty remains unresolved.
S24,2026-08-29,CVaR QAOA constrained optimization,PRIMARY_SOURCES_ONLY,PA21,CVaR VQA use clearly preexisting,COMPONENT_ONLY,Search completeness cannot establish priority; novelty remains unresolved.
S25,2026-08-29,"backward and forward tracing from Boyer, Montanaro, Nayebi and Bärtschi",PRIMARY_SOURCES_ONLY,PA01;PA03;PA05;PA08;PA10;PA12;PA13;PA19;PA22,Expanded adjacent search/advice and mixer literature; no exact Lambda theorem located,COMPONENT_ONLY,Search completeness cannot establish priority; novelty remains unresolved.
