edge_id,prerequisite,dependent,dependency_type,placement,prior_art_class,independent_human_review_mandatory
D01,uniform-fixed-cardinality-prior,T1,definition,CENTER_APPENDIX,PREEXISTING_ASYMPTOTIC_CORE,YES
D02,identity-oracle hybrid lemma,T1,proof,CENTER_APPENDIX,PREEXISTING_ASYMPTOTIC_CORE,YES
D03,T1 hybrid machinery,T2,purified adaptive extension,APPENDIX,LIKELY_REFORMULATION,YES
D04,T2,T3,end-to-end protocol specialization,APPENDIX,LIKELY_REFORMULATION,YES
D05,T2,T4,truncation plus Markov tail,APPENDIX,LIKELY_REFORMULATION,YES
D06,explicit chain construction,T5,counterexample,MAIN,LIKELY_REFORMULATION,YES
D07,route contraction/expansion,T6,bijection,MAIN,POTENTIALLY_DISTINCT,YES
D08,multiple-marked search,T7,reduction lower/upper bound,MAIN,LIKELY_REFORMULATION,YES
D09,T2 conditional hybrid,T8,condition on S,APPENDIX,POTENTIALLY_DISTINCT,YES
D10,T8,T9,finite-support union-free bound,APPENDIX,POTENTIALLY_DISTINCT,YES
D11,T8 operator domination,T10,one-shot dimension bound,APPENDIX,POTENTIALLY_DISTINCT,YES
D12,T8;T9,T11,algebraic reparameterization,MAIN_SUMMARY,LIKELY_REFORMULATION,YES
