evidence_id,claim,discovery_or_heldout,analysis_unit,sample_task_count,base_graph_count,primary_metric,effect,uncertainty,multiplicity,failure_count,scope,claim_ceiling,source_files
E0A,Task-universe v1 duplicate stress,DISCOVERY,task,175,25,duplicate feasible-set count,53/175 task rows repeated feasible sets after budget construction; phi range 1.90735e-6 to 0.0234375,descriptive exact count,none,0,Phase-0 synthetic DAG construction,DESCRIPTIVE; motivates correction,results/phase0/summary.json
E0B,Task-universe v2 distinct-cardinality correction,DISCOVERY,task/base graph,140,25,distinct feasible sets and phi,0 duplicate feasible sets; 140 summed graph-level distinct sets; median phi 0.00012207,descriptive exact count,none,0,Corrected Phase-0 v2 universe,MECHANISTIC construction evidence,results/phase0_v2_dilution_stress/summary.json
E1A,Hamiltonian scale audit,DISCOVERY,task,140,25,energy-span and ground-state contract,Ground-state correctness 140/140; raw span confounded; controlled within-base span ratio median 1.07495,descriptive audit,none,0,No QAOA optimization in the scale audit,MECHANISTIC; scale-control contract,results/phase0_v2_dilution_stress/HAMILTONIAN_SCALE_AUDIT.md;results/phase0_v2_dilution_stress/hamiltonian_scale_audit.csv
E2A,Penalty-X depth pilot,DISCOVERY,task,56,10,P_feas and log gain G,Median P_feas p1/p2/p3=0.005089/0.005984/0.003190; median G=1.6759/1.6366/1.5193,task distributions; no confirmatory interval,exploratory multiple depths,0,"Exact statevector, Penalty-X, p=1,2,3",EXPLORATORY only,results/phase1_pilot_v1/pilot_summary.json
E3A,Nested ansatz identity and optimizer failure attribution,DISCOVERY,seed/run and task,168,10,embedded p2 identity; continuation response,Nested identity 168/168; original p3 worse than embedded p2 in 29/168; continuation improved objective in 29/29 and G in 27/29,paired deterministic audit,mechanistic multiple diagnostics,0,Original pilot p3 anomaly,MECHANISTIC optimizer attribution,results/phase1_1_optimization_diagnostic/summary.json
E3B,Objective-feasibility misalignment,DISCOVERY,run,168,10,objective final versus G,"Random p3 had lower objective than continuation in 108/168, yet lower G in 82 of those comparisons",paired descriptive count,mechanistic,0,Penalty objective only,MECHANISTIC; no universal optimizer claim,results/phase1_1_optimization_diagnostic/summary.json
E4A,Objective discovery and capacity gap,DISCOVERY,task,56,10,graph compensation G,Median capacity gap O2-O0=0.2193 decades; O1 residual 0.2417; O3 residual 0.0069,exploratory paired summaries,multiple objectives exploratory,0,O2 exact-feasibility objective is mechanistic/nondeployable,EXPLORATORY objective selection,results/phase1_2_objective_alignment/summary.json
E4B,CVaR discovery response,DISCOVERY,task,56,10,"P_feas, P_opt, G",O3 exceeded O0 on P_feas in 50/56 and P_opt in 51/56; median P_feas O0/O3=0.02168/0.04279,exploratory paired counts,objective family selected after discovery,0,"CVaR alpha=0.10, Penalty-X p=3",Discovery only; motivates held-out test,results/phase1_2_objective_alignment/summary.json
E5A,Preregistered H1 CVaR versus mean,HELDOUT,base graph,84,15,graph-level mean Delta G(O3-O0),0.354714949 decades; bootstrap SE 0.074725821; one-sided 95% lower 0.237378536; Holm p=0.000244141,preregistered graph bootstrap and sign flip,Holm over H1/H2,0,Held-out graphs/tasks; p=3 exact statevector,PREREGISTERED_HELDOUT confirmation,results/phase2_confirmatory_v1/confirmatory_statistics.json
E5B,Preregistered H2 CVaR noninferiority to capacity,HELDOUT,base graph,84,15,graph-level mean Delta G(O3-O2),-0.00859515 decades against -0.10 margin; lower bound -0.03604875; Holm p=0.000244141,preregistered graph bootstrap and shifted sign flip,Holm over H1/H2,0,"O2 is a mechanistic ceiling, not deployable",PREREGISTERED_HELDOUT noninferiority,results/phase2_confirmatory_v1/confirmatory_statistics.json
E5C,Held-out optimal-route concentration,HELDOUT_SECONDARY,task,84,15,P_opt and conditional optimality,O3-O0 P_opt wins/ties/losses=80/0/4; median difference 0.00639968; both P_feas and P_opt increased on 79/84 tasks,preregistered secondary/descriptive paired audit,secondary outcomes,0,Same frozen Phase-2 runs,SUPPORTED secondary evidence,results/phase2_confirmatory_v1/summary.json;results/phase2_confirmatory_v1/task_level_contrasts.csv
E5D,CVaR tail mechanism audit,HELDOUT_MECHANISM,task,84,15,tail separation and feasible-tail composition,Energy separation and tail-condition checks passed 84/84; 20/84 tails were fully feasible,deterministic audit,secondary mechanism,0,CVaR alpha=0.10,MECHANISTIC interpretation only,results/phase2_confirmatory_v1/cvar_tail_diagnostics.csv
E6A,Phase-3 scaling response,PREREGISTERED_SCALING_RESPONSE,base graph/objective,180,30,eta and held-out response,Completed through m=20; O3 extrapolation eta mean 1.28214 versus O0 0.61499; mean-vs-CVaR reversal at m=20,frozen development/interpolation/extrapolation protocol,model/objective comparisons,0,m=22 censored; no global scaling law,RESOURCE_CENSORED scaling response,results/phase3_scaling_v1/summary.json
E6B,Phase-3 feasible-entry bottleneck decomposition,POST_HOLDOUT_DESCRIPTIVE,graph-objective trajectory,75,25,P_opt=P_feas*P_opt|feas slopes,75/75 completed trajectories had positive conditional-optimality slope while feasible-entry probability declined,descriptive post-holdout decomposition,not confirmatory,0,Completed m<=20 only,DESCRIPTIVE_ONLY,results/phase3_scaling_v1/optimality_scaling.csv
E6C,Phase-3 resource censoring,RESOURCE_PREFLIGHT,size stratum,180,30,execution completion,540 p2 and 540 p3 rows completed; m=22 cells censored by preflight; no other scientific failures,resource guard,not applicable,180,CPU NumPy exact statevector,RESOURCE_CENSORED,results/phase3_scaling_v1/resource_preflight.json;results/phase3_scaling_v1/failure_census.csv
E7A,Theory-v1-v3 chain,THEORY,theorem,11,0,formal proof status,"Membership-only barrier, adaptive total-query extension, representation counterexample, explicit-attribute subclass, posterior/advice tradeoff and cost accounting",formal reconstruction and numerical theorem tests,not applicable,0,Specified information-access models only,THEOREM; novelty unresolved,results/theory_validation_v1/summary.json;results/theory_validation_v2/summary.json;results/theory_validation_v3/summary.json
