citation_id,authors,title,year,venue,publication_status,doi,arxiv_id,primary_url,result_location,model,theorem_scope,exact_formula,adaptive,advice_type,average_or_worst_case,relation_to_T1_T11,preexisting_component,potentially_distinct_component,novelty_implication,confidence
PA01,Bennett; Bernstein; Brassard; Vazirani,Strengths and Weaknesses of Quantum Computing,1997,SIAM Journal on Computing,journal,10.1137/S0097539796300933,quant-ph/9701001,https://arxiv.org/abs/quant-ph/9701001,hybrid lower bound,unstructured black-box search,Omega(sqrt(N)) search core,NO,none,worst-case,"T1,T2,T3",hybrid/asymptotic search lower bound,dilution/QAOA application and exact phase coefficient not supplied,Core clearly preexisting,HIGH,
PA02,Boyer; Brassard; Høyer; Tapp,Tight Bounds on Quantum Searching,1998,Fortschritte der Physik,journal,10.1002/(SICI)1521-3978(199806)46:4/5<493::AID-PROP493>3.0.CO;2-P,quant-ph/9605034,https://arxiv.org/abs/quant-ph/9605034,multiple-solution analysis,Grover search with unknown or multiple solutions,Theta(sqrt(N/M)) and exact success behavior,NO,none,worst-case/randomized,T7,multiple-marked upper/lower core,explicit RCSP embedding absent,Explicit RCSP result is an application/reduction,HIGH,
PA03,Zalka,Grover's quantum searching algorithm is optimal,1999,Physical Review A,journal,10.1103/PhysRevA.60.2746,quant-ph/9711070,https://arxiv.org/abs/quant-ph/9711070,main optimality theorem,black-box search,exact optimality at fixed success,NO,none,worst-case,"T1,T2,T7",tight Grover optimality,posterior/advice formulation absent,Core clearly preexisting,HIGH,
PA04,Høyer,Arbitrary phases in quantum amplitude amplification,2000,Physical Review A,journal,10.1103/PhysRevA.62.052304,quant-ph/0006031,https://arxiv.org/abs/quant-ph/0006031,phase condition and algorithms,amplitude amplification with arbitrary phases,phase-dependent amplification conditions,NO,none,algorithmic,T1,arbitrary-phase search preexists,No located bound with 1+sum |exp(-i gamma_t)-1|,Exact coefficient potentially distinct; priority unresolved,HIGH,
PA05,Brassard; Høyer; Mosca; Tapp,Quantum Amplitude Amplification and Estimation,2002,AMS Contemporary Mathematics,proceedings,10.1090/conm/305/05215,quant-ph/0005055,https://arxiv.org/abs/quant-ph/0005055,amplitude amplification theorem,search from arbitrary initial success probability,quadratic amplification,NO,none,algorithmic,"T1,T7",matching upper-bound machinery,No posterior structure channel,Core clearly preexisting,HIGH,
PA06,Ambainis; de Wolf,Average-Case Quantum Query Complexity,2001,Journal of Physics A,journal,10.1088/0305-4470/34/35/302,quant-ph/9904079,https://arxiv.org/abs/quant-ph/9904079,average-case framework,query complexity under input distributions,distributional/average query results,NO,none,average,"T1,T4",average-case query framing,Random fixed-cardinality posterior projector absent,Average-case core preexisting,HIGH,
PA07,Montanaro,Quantum search with advice,2010,TQC 2010 / LNCS,conference,10.1007/978-3-642-18073-6_7,0908.3066,https://arxiv.org/abs/0908.3066,main search-with-advice bounds,known prior distribution on target location,optimal expected queries under a prior,NO,classical prior distribution,average,"T8,T11",search under prior concentration,Advice is not an instance-dependent channel output; Lambda formula absent,Closest prior-distribution result,HIGH,
PA08,He; Zhang; Sun,Quantum Search with Prior Knowledge,2021,Quantum Information Processing,journal,10.1007/s11128-021-03160-3,2009.08721,https://arxiv.org/abs/2009.08721,weighted-search construction,search with known nonuniform priors,algorithms exploiting prior knowledge,NO,classical prior,average,"T8,T11",prior-information algorithms,Instance-dependent structure channel and upper bound absent,"Related, not equivalent",MODERATE,
PA09,Aaronson,Limitations of Quantum Advice and One-Way Communication,2005,Theory of Computing,journal,10.4086/toc.2005.v001a001,quant-ph/0402095,https://arxiv.org/abs/quant-ph/0402095,advice simulation/limitations,complexity classes with polynomial quantum advice,general quantum-advice limitations,YES,quantum advice,worst-case,T10,quantum advice is established resource,No one-shot marked-subset d phi theorem located,Model differs materially,HIGH,
PA10,Aaronson; Kuperberg,Quantum Versus Classical Proofs and Advice,2007,Theory of Computing,journal,10.4086/toc.2007.v003a007,quant-ph/0604056,https://arxiv.org/abs/quant-ph/0604056,marked-state oracle separation,oracle marked quantum state and advice,advice/query tradeoffs in a different state-search model,YES,classical/quantum advice,worst-case,T10,dimension/advice-query interactions,Not the random marked-subset membership model,"Close concept, non-equivalent theorem",HIGH,
PA11,Nayebi; Aaronson; Belovs; Trevisan,Quantum Lower Bound for Inverting a Permutation with Advice,2015,Theory of Computing,journal,10.4086/toc.2015.v011a007,1408.3193,https://arxiv.org/abs/1408.3193,ST^2 lower bound,permutation inversion after preprocessing,classical advice/query tradeoff,YES,classical preprocessing advice,average/worst-case variants,"T9,T11",asymptotic advice-query tradeoff,Different function/inversion model and no exact 2^b phi bound,Asymptotic advice core preexisting,HIGH,
PA12,Chung; Liao; Qian,Lower Bounds for Function Inversion with Quantum Advice,2020,TQC / LIPIcs,conference,10.4230/LIPIcs.TQC.2020.8,1911.09176,https://arxiv.org/abs/1911.09176,main tradeoff theorem,function inversion with quantum advice,quantum advice/time tradeoffs,YES,quantum advice,average,"T10,T11",finite quantum-advice tradeoff families,Different model; exact one-shot posterior-projector statement absent,Quantum-advice core preexisting,HIGH,
PA13,Chung; Guo; Liu; Qian,Tight Quantum Time-Space Tradeoffs for Function Inversion,2020,FOCS,conference,10.1109/FOCS46700.2020.00074,2006.05650,https://arxiv.org/abs/2006.05650,time-space theorems,function inversion/preprocessing,tight inversion tradeoffs,YES,classical/quantum storage,average,"T9,T10,T11",preprocessing query-space tradeoffs,No RCSP or Lambda posterior,Related asymptotic core,HIGH,
PA14,König; Renner; Schaffner,The Operational Meaning of Min- and Max-Entropy,2009,IEEE Transactions on Information Theory,journal,10.1109/TIT.2009.2025545,0807.1338,https://arxiv.org/abs/0807.1338,guessing-probability theorem,classical-quantum side information,conditional min-entropy equals guessing probability,NO,classical/quantum side information,average,"T8,T10,T11",posterior guessing-probability language,Does not supply the membership-query hybrid bound,Posterior interpretation has established information-theoretic analogues,HIGH,
PA15,Ballester; Wehner; Winter,State Discrimination with Post-Measurement Information,2008,IEEE Transactions on Information Theory,journal,10.1109/TIT.2008.928276,quant-ph/0608014,https://arxiv.org/abs/quant-ph/0608014,post-information discrimination,quantum state discrimination with side information,side information changes guessing tasks,YES,classical post-measurement info,average,"T8,T10",side-information formalism,Not a membership-query search theorem,Conceptual relation only,HIGH,
PA16,Dürr; Heiligman; Høyer; Mhalla,Quantum Query Complexity of Some Graph Problems,2006,SIAM Journal on Computing,journal,10.1137/050644719,quant-ph/0401091,https://arxiv.org/abs/quant-ph/0401091,graph query upper/lower bounds,adjacency matrix/list graph queries,model-sensitive graph query complexity,NO,graph adjacency oracle,worst-case,T7,graph query lower bounds preexist,Not explicit attribute-array RCSP construction,Supports access-model qualification,HIGH,
PA17,Wesołowski; Piddock,Quantum Algorithms for the Shortest Path Problem,2024,arXiv preprint,preprint,,2408.10427,https://arxiv.org/abs/2408.10427,query algorithms and lower bounds,shortest paths in matrix/list models,shortest-path query bounds,NO,graph query oracle,worst-case,T7,nearby graph-query literature,No RCSP parallel-attribute theorem,Nearby but different problem/model,MODERATE,
