claim_id,candidate_wording,claim_class,manuscript_section,theory_or_empirical,evidence_stage,inference_tier,source_files,source_fields,assumptions,scope,status,review_status,prior_art_status,allowed_wording,prohibited_wording,figure_or_table,appendix_dependency
C-T1,"For a uniform random fixed-size feasible subset, fixed-query membership-only success obeys the phase-sensitive dilution bound.",THEOREM,Theory boundary,THEORY,Theory-v1,FORMAL_THEORY,docs/theory/GLOBAL_QAOA_DILUTION_THEOREM.md,theorem statement,Uniform size-M prior; F-independent nonqueries,Average over feasible subsets,SUPPORTED_WITH_SCOPE_LIMITS,PASS,POTENTIALLY_DISTINCT,Average success obeys the stated phase-sensitive membership-query bound.,Every explicit RCSP instance needs this many queries.,F3,proofs
C-T2,"Adaptive membership-only protocols with hard cap q obey P <= min{1,(2q+1)^2 phi}.",THEOREM,Theory boundary,THEORY,Theory-v2,FORMAL_THEORY,docs/theory/ADAPTIVE_QUERY_DILUTION_THEOREM.md,hard-cap theorem,Pathwise cap; counted direct-sum membership interface,Average random marked subsets,SUPPORTED_WITH_SCOPE_LIMITS,PASS_WITH_CLARIFICATION,PREEXISTING_ASYMPTOTIC_CORE,The hard-cap theorem covers purified adaptive protocols.,The theorem bounds final trained depth.,F3,proofs
C-T3,Training-generated structure remains charged through total membership-query access.,COROLLARY,Theory boundary,THEORY,Theory-v2/v3,FORMAL_THEORY,docs/theory/TRAINED_QAOA_TOTAL_QUERY_THEOREM.md,total-query specialization,All F-dependence membership-only,End-to-end query accounting,SUPPORTED_WITH_SCOPE_LIMITS,PASS_WITH_CLARIFICATION,LIKELY_REFORMULATION,"Training, feedback and final queries count together.",Training time is lower-bounded by final depth.,T-S1,proofs
C-T4,"Expected-query access is controlled by a truncation bound, not by substituting E Q for q.",COROLLARY,Theory boundary,THEORY,Theory-v2,FORMAL_THEORY,docs/theory/ADAPTIVE_QUERY_DILUTION_THEOREM.md,expected-query section,Integer query count; global mean,Membership-only prior,SUPPORTED_WITH_SCOPE_LIMITS,PASS_WITH_CLARIFICATION,LIKELY_REFORMULATION,Use the explicit tail-plus-hard-cap truncation inequality.,Replace q by E Q in the squared bound.,T-S1,proofs
C-T5,Raw edge-bit density alone cannot yield a universal explicit-RCSP lower bound.,COUNTEREXAMPLE,Models and boundaries,THEORY,Theory-v3,FORMAL_THEORY,docs/theory/RAW_EDGE_BIT_DILUTION_COUNTEREXAMPLE.md,unique-chain theorem,Explicit adjacency-list input and route output,Impossibility of raw-density-only lower bound,SUPPORTED,PASS,LIKELY_REFORMULATION,Raw state density is representation-dependent and insufficient by itself.,Raw density is irrelevant to edge-qubit QAOA.,F1;F2,proofs
C-T6,Serial subdivision changes phi_state by 2^-(r-1) without changing the logical route problem.,COROLLARY,Models and boundaries,THEORY,Theory-v3,FORMAL_THEORY,docs/theory/REPRESENTATION_PADDING_LEMMA.md,padding lemma,Private subdivision; exact rational splitting,Representation transformation,SUPPORTED_WITH_SCOPE_LIMITS,PASS_WITH_CLARIFICATION,POTENTIALLY_DISTINCT,Coefficient bits grow O(log r) and explicit topology grows Theta(r).,Subdivision makes RCSP exponentially harder.,F2,proofs
C-T7,A parallel-branch explicit-attribute RCSP subclass inherits Theta_tau(sqrt(K/M)) random-access query complexity in the nontrivial regime.,QUERY_LOWER_BOUND,Models and boundaries,THEORY,Theory-v3,FORMAL_THEORY,docs/theory/EXPLICIT_ATTRIBUTE_QUERY_RCSP_BOUND.md,lower and upper bounds,Explicit length-K array under counted random access,"Input-query complexity, not RAM time",SUPPORTED_WITH_SCOPE_LIMITS,PASS_WITH_CLARIFICATION,LIKELY_REFORMULATION,The explicit attribute-array subclass reduces to multiple-marked search.,Exponential lower bound in compact graph size.,F1,proofs
C-T8,Classical structure modifies membership-query dilution through posterior concentration Lambda(S).,THEOREM,Theory boundary,THEORY,Theory-v3,FORMAL_THEORY,docs/theory/POSTERIOR_STRUCTURE_DILUTION_THEOREM.md,posterior theorem,Classical pre-search channel; residual membership uncertainty,Uniform fixed-cardinality prior,SUPPORTED_WITH_SCOPE_LIMITS,PASS_WITH_CLARIFICATION,POTENTIALLY_DISTINCT,The posterior-projector norm controls conditional reference overlap.,All natural RCSP structure is summarized by Lambda.,F4,proofs
C-T9,"An advice alphabet of at most 2^b outputs implies P <= min{1,(2q+1)^2 2^b phi}.",COROLLARY,Theory boundary,THEORY,Theory-v3,FORMAL_THEORY,docs/theory/ADVICE_QUERY_TRADEOFF.md,finite-advice corollary,"Support-size bits, not mutual information",Classical advice only,SUPPORTED_WITH_SCOPE_LIMITS,PASS_WITH_CLARIFICATION,POTENTIALLY_DISTINCT,Finite-alphabet classical advice obeys the stated necessary bound.,b advice bits equal b runtime bits.,F4,proofs
C-T10,One pre-search quantum advice state of total accessible dimension d has a finite-dimensional analogue.,THEOREM,Theory boundary,THEORY,Theory-v3,FORMAL_THEORY,docs/theory/ADVICE_QUERY_TRADEOFF.md,quantum-advice section,One state; total accessible dimension d,No refreshed or interactive advice,SUPPORTED_WITH_SCOPE_LIMITS,PASS_WITH_CLARIFICATION,POTENTIALLY_DISTINCT,The one-shot finite-dimensional model covers mixed advice and inaccessible purification.,The result covers repeated interactive quantum advice.,T-S1,proofs
C-T11,"b_eff and K_eff express necessary posterior support compression, not sufficient implementation cost.",COROLLARY,Theory boundary,THEORY,Theory-v3,FORMAL_THEORY,docs/theory/EFFECTIVE_STRUCTURE_BITS.md,effective quantities,0<phi; target tau>0,Necessary condition,SUPPORTED_WITH_SCOPE_LIMITS,PASS_WITH_CLARIFICATION,LIKELY_REFORMULATION,Effective bits summarize posterior concentration.,Effective bits are runtime or a conservation law.,F4,proofs
C-E0-UNIVERSE,The corrected task universe removes duplicate feasible-set levels while retaining a broad controlled dilution range.,MECHANISM,Experimental design,EMPIRICAL,Phase0/0v2,DESCRIPTIVE,results/phase0/summary.json;results/phase0_v2_dilution_stress/summary.json,task_count;duplicate_feasible_set_count;phi extrema,Synthetic controlled DAGs,Construction audit,SUPPORTED,SECOND_PASS_MACHINE_AUDIT,NOT_APPLICABLE,"V2 has 140 tasks, no duplicated feasible sets and the reported phi range.",The task universe represents natural RCSP prevalence.,F5;T1,protocols
