run_id,task_id,graph_id,size_stratum,stress_level,m,dilution_score,feasibility_status,optimal_objective,frozen_optimal_objective,optimum_match,optimal_nodes,optimal_edge_indices,optimal_resource,solve_time_s_median,solve_time_s_min,solve_time_s_max,timing_repeats,labels_generated,labels_expanded,labels_dominance_pruned,labels_resource_pruned,labels_cycle_pruned,maximum_live_labels
b2-02b4b97a88c5873a489b,task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,S2,D1,10,3.010299956639812,FEASIBLE,13.0,13.0,True,"[0,1,3,7]","[0,2,6]",1327.0,2.7444e-05,2.5558e-05,5.5013e-05,100,7,7,0,3,0,3
b2-037f1f850147652bed61,task-v2-ac528a9510be,g-a712031e7959d564,S3,D4,13,3.311329952303793,FEASIBLE,8.0,8.0,True,"[0,3,5,7]","[2,8,11]",1039.0,4.6662e-05,4.5681e-05,7.3072e-05,100,12,11,1,3,0,5
b2-0739752dd6450c594649,task-v2-6ee4e9bb2f23,g-ad76642cd3b9f76c,S5,D3,19,5.24244866289598,FEASIBLE,13.0,13.0,True,"[0,3,6,9,10]","[2,7,14,18]",1211.0,5.2682e-05,4.9475e-05,7.8507e-05,100,13,13,0,7,0,5
b2-074fafceb9f604225afb,task-v2-8d35df6592f7,g-64377640089a831f,S3,D7,13,3.0682919036174985,FEASIBLE,15.0,15.0,True,"[0,3,6,7]","[2,9,12]",1378.0,7.4654e-05,6.9665e-05,9.8105e-05,100,18,18,0,0,0,8
b2-0a8a85abdff826294f88,task-v2-606c43f06406,g-3ff7063ef9ea5cfb,S4,D4,16,4.214419939295737,FEASIBLE,8.0,8.0,True,"[0,2,8,9]","[1,8,15]",1570.0,6.0711e-05,5.6781e-05,8.2269e-05,100,16,15,1,5,0,7
b2-0cbd7a631614dddf6c91,task-v2-d6122c14c280,g-b9a8415aa1799cc5,S5,D5,19,4.941418667231999,FEASIBLE,8.0,8.0,True,"[0,2,9,10]","[1,8,18]",1093.0,7.7092e-05,7.6256e-05,0.000102738,100,20,18,2,4,0,8
b2-0cdbf90ab8f35fe682ad,task-v2-41f38ee1e3c2,g-2fa0de1665fa7816,S4,D4,16,4.214419939295737,FEASIBLE,9.0,9.0,True,"[0,1,7,9]","[0,4,14]",1391.0,4.8654e-05,4.5556e-05,7.1773e-05,100,12,12,0,3,0,5
b2-0fc063e139b6ccfcfc1f,task-v2-a11d89c8c060,g-ad76642cd3b9f76c,S5,D4,19,5.11750992628768,FEASIBLE,13.0,13.0,True,"[0,3,6,9,10]","[2,7,14,18]",1211.0,5.9367e-05,5.5512e-05,9.347e-05,100,15,14,1,5,0,6
b2-11809ee71efcc122264e,task-v2-07632e755d52,g-a529fbde22ed09f4,S1,D3,7,1.630088714928206,FEASIBLE,9.0,9.0,True,"[0,3,5]","[2,5]",428.0,3.0036e-05,2.8049e-05,5.1114e-05,100,8,7,1,0,0,4
b2-12a1bc72a5bb3ee3294c,task-v2-cb6317a18cf3,g-f6afb3a3727100d3,S4,D7,16,3.816479930623699,FEASIBLE,8.0,8.0,True,"[0,3,9]","[2,9]",663.0,7.2642e-05,6.9106e-05,0.000161789,100,19,15,4,0,0,7
b2-136056955ee85129f8d0,task-v2-01f33dead804,g-ad76642cd3b9f76c,S5,D5,19,4.941418667231999,FEASIBLE,13.0,13.0,True,"[0,3,6,9,10]","[2,7,14,18]",1211.0,7.1609e-05,7.0771e-05,0.000163583,100,18,16,2,3,0,7
b2-15468edf0b885bc1bf4c,task-v2-628efc62dabb,g-e23fad4558949e26,S1,D1,7,2.1072099696478683,FEASIBLE,17.0,17.0,True,"[0,1,3,5]","[0,2,5]",1021.0,1.991e-05,1.9575e-05,6.2672e-05,100,5,5,0,2,0,3
b2-17bdc3a01f4edb0f3bcd,task-v2-8b88de51ba21,g-f0c91af33253395a,S3,D1,13,3.9133899436317554,FEASIBLE,7.0,7.0,True,"[0,4,7]","[3,10]",196.0,1.5604e-05,1.5345e-05,3.5422e-05,100,3,3,0,3,0,2
