claim_id,candidate_wording,claim_class,evidence_stage,inference_tier,source_files,scope,status,allowed_wording,prohibited_wording
C-T1,"For a uniform random fixed-size feasible subset, fixed-query membership-only success obeys the phase-sensitive dilution bound.",THEOREM,Theory-v1,FORMAL_THEORY,docs/theory/GLOBAL_QAOA_DILUTION_THEOREM.md,Average over feasible subsets,SUPPORTED_WITH_SCOPE_LIMITS,Average success obeys the stated phase-sensitive membership-query bound.,Every explicit RCSP instance needs this many queries.
C-T2,"Adaptive membership-only protocols with hard cap q obey P <= min{1,(2q+1)^2 phi}.",THEOREM,Theory-v2,FORMAL_THEORY,docs/theory/ADAPTIVE_QUERY_DILUTION_THEOREM.md,Average random marked subsets,SUPPORTED_WITH_SCOPE_LIMITS,The hard-cap theorem covers purified adaptive protocols.,The theorem bounds final trained depth.
C-T3,Training-generated structure remains charged through total membership-query access.,COROLLARY,Theory-v2/v3,FORMAL_THEORY,docs/theory/TRAINED_QAOA_TOTAL_QUERY_THEOREM.md,End-to-end query accounting,SUPPORTED_WITH_SCOPE_LIMITS,"Training, feedback and final queries count together.",Training time is lower-bounded by final depth.
C-T4,"Expected-query access is controlled by a truncation bound, not by substituting E Q for q.",COROLLARY,Theory-v2,FORMAL_THEORY,docs/theory/ADAPTIVE_QUERY_DILUTION_THEOREM.md,Membership-only prior,SUPPORTED_WITH_SCOPE_LIMITS,Use the explicit tail-plus-hard-cap truncation inequality.,Replace q by E Q in the squared bound.
C-T5,Raw edge-bit density alone cannot yield a universal explicit-RCSP lower bound.,COUNTEREXAMPLE,Theory-v3,FORMAL_THEORY,docs/theory/RAW_EDGE_BIT_DILUTION_COUNTEREXAMPLE.md,Impossibility of raw-density-only lower bound,SUPPORTED,Raw state density is representation-dependent and insufficient by itself.,Raw density is irrelevant to edge-qubit QAOA.
C-T6,Serial subdivision changes phi_state by 2^-(r-1) without changing the logical route problem.,COROLLARY,Theory-v3,FORMAL_THEORY,docs/theory/REPRESENTATION_PADDING_LEMMA.md,Representation transformation,SUPPORTED_WITH_SCOPE_LIMITS,Coefficient bits grow O(log r) and explicit topology grows Theta(r).,Subdivision makes RCSP exponentially harder.
C-T7,A parallel-branch explicit-attribute RCSP subclass inherits Theta_tau(sqrt(K/M)) random-access query complexity in the nontrivial regime.,QUERY_LOWER_BOUND,Theory-v3,FORMAL_THEORY,docs/theory/EXPLICIT_ATTRIBUTE_QUERY_RCSP_BOUND.md,"Input-query complexity, not RAM time",SUPPORTED_WITH_SCOPE_LIMITS,The explicit attribute-array subclass reduces to multiple-marked search.,Exponential lower bound in compact graph size.
C-T8,Classical structure modifies membership-query dilution through posterior concentration Lambda(S).,THEOREM,Theory-v3,FORMAL_THEORY,docs/theory/POSTERIOR_STRUCTURE_DILUTION_THEOREM.md,Uniform fixed-cardinality prior,SUPPORTED_WITH_SCOPE_LIMITS,The posterior-projector norm controls conditional reference overlap.,All natural RCSP structure is summarized by Lambda.
C-T9,"An advice alphabet of at most 2^b outputs implies P <= min{1,(2q+1)^2 2^b phi}.",COROLLARY,Theory-v3,FORMAL_THEORY,docs/theory/ADVICE_QUERY_TRADEOFF.md,Classical advice only,SUPPORTED_WITH_SCOPE_LIMITS,Finite-alphabet classical advice obeys the stated necessary bound.,b advice bits equal b runtime bits.
C-T10,One pre-search quantum advice state of total accessible dimension d has a finite-dimensional analogue.,THEOREM,Theory-v3,FORMAL_THEORY,docs/theory/ADVICE_QUERY_TRADEOFF.md,No refreshed or interactive advice,SUPPORTED_WITH_SCOPE_LIMITS,The one-shot finite-dimensional model covers mixed advice and inaccessible purification.,The result covers repeated interactive quantum advice.
