run_id,evidence_identity,task_id,base_graph_id,base_instance_id,size_stratum,stress_level,n_edges,dilution_score,feasible_state_fraction,objective_id,objective_name,objective_definition,objective_role,depth,optimizer,eval_budget,source_p2_seed,source_p2_run_id,source_p2_objective_final,initialization_rule,initial_parameters,terminal_parameters,best_evaluated_parameters,objective_start,objective_final,objective_improvement,terminal_objective,best_evaluated_objective,mean_energy_start,mean_energy,expected_routing_component,expected_flow_penalty,expected_resource_penalty,expected_total_penalty,p_feas_start,p_feas,p_feas_change,p_opt_start,p_opt,p_opt_change,p_opt_given_feasible_start,p_opt_given_feasible,feasibility_amplification,log_feasibility_gain_start,log_feasibility_gain,expected_route_cost_given_feasible,cvar_alpha,cvar_value,cvar_cutoff_energy,cvar_tail_feasible_mass,cvar_tail_fully_feasible,cvar_fractional_cutoff_mass,strict_energy_class_separation,penalty_bound_pass,state_norm,nfev,tracked_optimizer_evaluations,total_objective_evaluations,runtime_s,peak_memory_mb,optimizer_status,optimizer_message,numerically_valid,execution_status,failure_reason,paired_analysis_eligible,config_sha256,ansatz_cost_phase_hamiltonian,raw_statevector_persisted
phase2-p3-1dddb70cd7af3837d5e1,PREREGISTERED_HELDOUT_OBJECTIVE_CONFIRMATION,task-v2-b9e5059853ca,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D1,7,2.1072099696478683,0.0078125,O0,MEAN_ENERGY,E_theta[H_C],STANDARD_BASELINE,3,COBYLA,240,1103,phase2-p2-869f443069a560ae0c41,1.7648232491016975,selected_p2_then_append_zero_gamma3_beta3,"[3.1085426944418537, 4.313459417180652, 0.0, 2.4583768833872437, 0.16733657407357344, 0.0]","[3.2171748171302026, 4.319073095202805, 0.01278442688460635, 2.456793020553642, 0.16856473869695326, -0.005266641115956688]","[3.2171748171302026, 4.319073095202805, 0.01278442688460635, 2.456793020553642, 0.16856473869695326, -0.005266641115956688]",1.7648232491016975,1.763022489305015,0.0018007597966824,1.763022489305015,1.763022489305015,1.7648232491016975,1.763022489305015,0.0681026032187698,1.0676370055467903,0.6272828805394551,1.694919886086245,0.0913477247916379,0.0925255650983692,0.0011778403067313,0.0913477247916379,0.0925255650983692,0.0011778403067313,1.0,1.0,11.843272332591264,1.0679077044481686,1.0734717158695333,9.0,0.1,0.135313484340287,1.1626155770555264,0.0925255650983693,False,0.0074744349016306,True,True,0.9999999999999992,240,240,241,0.7261428907513618,122.390625,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,True,SUCCESS,,True,0e87433b5b33ad10b58affe40162e1cbdbcd4bcb5ec45d9bd38c6222a5549a2f,normalized_mean_energy_H_C,False
phase2-p3-45d7959fc80a729c46d6,PREREGISTERED_HELDOUT_OBJECTIVE_CONFIRMATION,task-v2-b9e5059853ca,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D1,7,2.1072099696478683,0.0078125,O2,EXACT_FEASIBILITY_CAPACITY_CONTROL,1 - P_feas(theta),MECHANISTIC_CAPACITY_CONTROL,3,COBYLA,240,1103,phase2-p2-869f443069a560ae0c41,1.7648232491016975,selected_p2_then_append_zero_gamma3_beta3,"[3.1085426944418537, 4.313459417180652, 0.0, 2.4583768833872437, 0.16733657407357344, 0.0]","[3.5949676733945997, 4.442788887187805, -0.15783503130290344, 2.6177598172430856, 0.1565330706082465, 0.08055774408383011]","[3.5949676733945997, 4.442788887187805, -0.15783503130290344, 2.6177598172430856, 0.1565330706082465, 0.08055774408383011]",0.908652275208362,0.8602675165187064,0.0483847586896557,0.8602675165187064,0.8602675165187064,1.7648232491016975,1.969483717349588,0.0824543281645127,1.049327865287109,0.8377015238979661,1.8870293891850751,0.0913477247916379,0.1397324834812937,0.0483847586896557,0.0913477247916379,0.1397324834812937,0.0483847586896557,1.0,1.0,17.885757885605592,1.0679077044481686,1.2525073475357442,9.0,0.1,0.0523255813953488,0.0523255813953488,0.1,True,0.1,True,True,0.9999999999999998,240,240,241,0.7083169221878052,122.390625,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,True,SUCCESS,,True,0e87433b5b33ad10b58affe40162e1cbdbcd4bcb5ec45d9bd38c6222a5549a2f,normalized_mean_energy_H_C,False
phase2-p3-273f7fe69aaf0923b97b,PREREGISTERED_HELDOUT_OBJECTIVE_CONFIRMATION,task-v2-b9e5059853ca,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D1,7,2.1072099696478683,0.0078125,O3,CVAR_ENERGY,exact_weighted_lowest_energy_CVaR_alpha_0.10,TAIL_FOCUSED_ROUTING_OBJECTIVE,3,COBYLA,240,1103,phase2-p2-869f443069a560ae0c41,1.7648232491016975,selected_p2_then_append_zero_gamma3_beta3,"[3.1085426944418537, 4.313459417180652, 0.0, 2.4583768833872437, 0.16733657407357344, 0.0]","[3.6085426944418537, 4.813459417180652, 0.5, 2.4583768833872437, 0.16733657407357344, 0.0]","[3.6085426944418537, 4.813459417180652, 0.0, 2.4583768833872437, 0.16733657407357344, 0.0]",0.1483909274307777,0.0523255813953488,0.0960653460354288,0.0523255813953488,0.0523255813953488,1.7648232491016975,1.819741689859789,0.0708479617040718,1.066045420362607,0.6828483077931102,1.7488937281557173,0.0913477247916379,0.1053821309455321,0.0140344061538942,0.0913477247916379,0.1053821309455321,0.0140344061538942,1.0,1.0,13.48891276102811,1.0679077044481686,1.1299769458976276,9.0,0.1,0.0523255813953488,0.0523255813953488,0.1,True,0.1,True,True,0.9999999999999992,28,28,29,0.0586922205984592,122.390625,0,Return from COBYLA because the trust region radius reaches its lower bound.,True,SUCCESS,,True,0e87433b5b33ad10b58affe40162e1cbdbcd4bcb5ec45d9bd38c6222a5549a2f,normalized_mean_energy_H_C,False
phase2-p3-a18d8f1b8ed9ddb05e0c,PREREGISTERED_HELDOUT_OBJECTIVE_CONFIRMATION,task-v2-9065c1a0a08c,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D2,7,1.806179973983887,0.015625,O0,MEAN_ENERGY,E_theta[H_C],STANDARD_BASELINE,3,COBYLA,240,1103,phase2-p2-79bfb4845135fd2b1a3e,1.4005558128107762,selected_p2_then_append_zero_gamma3_beta3,"[1.4160647665344457, 4.327460452442732, 0.0, 2.5090888957793176, 0.20577326930285197, 0.0]","[1.418034439683582, 4.302044006292076, 0.0020784501254231267, 2.5077504446924803, 0.20734781815595124, -0.0007057540533772119]","[1.418034439683582, 4.302044006292076, 0.0020784501254231267, 2.5077504446924803, 0.20734781815595124, -0.0007057540533772119]",1.4005558128107762,1.400428090656535,0.0001277221542412,1.400428090656535,1.400428090656535,1.4005558128107762,1.400428090656535,0.0740622216346142,1.073335449311131,0.25303041971079,1.3263658690219209,0.1925713007687176,0.1927889702989587,0.0002176695302411,0.1509643822984972,0.1519841366545892,0.001019754356092,0.7839401909623532,0.7883445635863231,12.338494099133362,1.0907715379432534,1.0912621577243424,10.904898927723092,0.1,0.0523255813953488,0.0523255813953488,0.1,True,0.1,True,True,1.0,69,69,70,0.1946833105757832,122.1875,0,Return from COBYLA because the trust region radius reaches its lower bound.,True,SUCCESS,,True,0e87433b5b33ad10b58affe40162e1cbdbcd4bcb5ec45d9bd38c6222a5549a2f,normalized_mean_energy_H_C,False
phase2-p3-3a56e52b3ae0fe80035f,PREREGISTERED_HELDOUT_OBJECTIVE_CONFIRMATION,task-v2-9065c1a0a08c,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D2,7,1.806179973983887,0.015625,O2,EXACT_FEASIBILITY_CAPACITY_CONTROL,1 - P_feas(theta),MECHANISTIC_CAPACITY_CONTROL,3,COBYLA,240,1103,phase2-p2-79bfb4845135fd2b1a3e,1.4005558128107762,selected_p2_then_append_zero_gamma3_beta3,"[1.4160647665344457, 4.327460452442732, 0.0, 2.5090888957793176, 0.20577326930285197, 0.0]","[1.367055797957856, 4.286260151019532, 0.4864888794609728, 2.495325570700143, 0.3674111460950068, -0.11979235721587662]","[1.367055797957856, 4.286260151019532, 0.4864888794609728, 2.495325570700143, 0.3674111460950068, -0.11979235721587662]",0.8074286992312824,0.7950560172537511,0.0123726819775312,0.7950560172537511,0.7950560172537511,1.4005558128107762,1.4137445191865037,0.0753654854652717,1.069623953715498,0.2687550800057338,1.3383790337212318,0.1925713007687176,0.2049439827462489,0.0123726819775313,0.1509643822984972,0.1709282819330887,0.0199638996345914,0.7839401909623532,0.8340243984851377,13.116414895759933,1.0907715379432534,1.1178151457290488,10.49378041363376,0.1,0.0523255813953488,0.0523255813953488,0.1,True,0.1,True,True,0.9999999999999996,240,240,241,0.698007351718843,122.375,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,True,SUCCESS,,True,0e87433b5b33ad10b58affe40162e1cbdbcd4bcb5ec45d9bd38c6222a5549a2f,normalized_mean_energy_H_C,False
phase2-p3-4ae00a9124fbfaa5b476,PREREGISTERED_HELDOUT_OBJECTIVE_CONFIRMATION,task-v2-9065c1a0a08c,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D2,7,1.806179973983887,0.015625,O3,CVAR_ENERGY,exact_weighted_lowest_energy_CVaR_alpha_0.10,TAIL_FOCUSED_ROUTING_OBJECTIVE,3,COBYLA,240,1103,phase2-p2-79bfb4845135fd2b1a3e,1.4005558128107762,selected_p2_then_append_zero_gamma3_beta3,"[1.4160647665344457, 4.327460452442732, 0.0, 2.5090888957793176, 0.20577326930285197, 0.0]","[1.9160647665344457, 4.327460452442732, 0.0, 2.5090888957793176, 0.20577326930285197, 0.0]","[1.4160647665344457, 4.327460452442732, 0.0, 2.5090888957793176, 0.20577326930285197, 0.0]",0.0523255813953488,0.0523255813953488,0.0,0.0523255813953488,0.0523255813953488,1.4005558128107762,1.4881575569620955,0.0784784699946026,1.078165375924557,0.331513711042936,1.4096790869674931,0.1925713007687176,0.1741986138807083,-0.0183726868880093,0.1509643822984972,0.142461176844699,-0.0085032054537982,0.7839401909623532,0.8178089002605774,11.14871128836533,1.0907715379432534,1.0472246689359297,10.639719897654803,0.1,0.0523255813953488,0.0523255813953488,0.1,True,0.1,True,True,1.0000000000000004,22,22,23,0.0470785917714238,122.375,0,Return from COBYLA because the trust region radius reaches its lower bound.,True,SUCCESS,,True,0e87433b5b33ad10b58affe40162e1cbdbcd4bcb5ec45d9bd38c6222a5549a2f,normalized_mean_energy_H_C,False
phase2-p3-948ba21f292783f2ec9c,PREREGISTERED_HELDOUT_OBJECTIVE_CONFIRMATION,task-v2-07632e755d52,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D3,7,1.630088714928206,0.0234375,O0,MEAN_ENERGY,E_theta[H_C],STANDARD_BASELINE,3,COBYLA,240,1103,phase2-p2-3b825b9d54e025a840d3,1.2373877527038526,selected_p2_then_append_zero_gamma3_beta3,"[2.250200247560789, 4.270793580028745, 0.0, 3.151499755542524, -0.47765860019613887, 0.0]","[2.131506763995542, 4.213994042194519, 0.36314170812284, 3.1687385000576627, -0.3231523237476089, -0.18581365033287467]","[2.131506763995542, 4.213994042194519, 0.36314170812284, 3.1687385000576627, -0.3231523237476089, -0.18581365033287467]",1.2373877527038526,1.1858802504577264,0.0515075022461262,1.1858802504577264,1.1858802504577264,1.2373877527038526,1.1858802504577264,0.0836302782397768,0.93003294492791,0.1722170272900394,1.1022499722179495,0.2530761538121439,0.2865874380282492,0.0335112842161053,0.1024087301309312,0.1084897193116616,0.0060809891807303,0.4046557867595393,0.3785571344580974,12.2277306892053,1.033339940466956,1.087345865000073,14.075939515499378,0.1,0.0523255813953488,0.0523255813953488,0.1,True,0.1,True,True,0.9999999999999988,240,240,241,0.7257635621353984,121.921875,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,True,SUCCESS,,True,0e87433b5b33ad10b58affe40162e1cbdbcd4bcb5ec45d9bd38c6222a5549a2f,normalized_mean_energy_H_C,False
phase2-p3-9f1053b09d2e73b3ddb9,PREREGISTERED_HELDOUT_OBJECTIVE_CONFIRMATION,task-v2-07632e755d52,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D3,7,1.630088714928206,0.0234375,O2,EXACT_FEASIBILITY_CAPACITY_CONTROL,1 - P_feas(theta),MECHANISTIC_CAPACITY_CONTROL,3,COBYLA,240,1103,phase2-p2-3b825b9d54e025a840d3,1.2373877527038526,selected_p2_then_append_zero_gamma3_beta3,"[2.250200247560789, 4.270793580028745, 0.0, 3.151499755542524, -0.47765860019613887, 0.0]","[1.9857987287201202, 4.020854290016145, 0.6218878342111849, 3.2053167274899645, -0.3461004368922526, -0.18470434397791344]","[1.9857987287201202, 4.020854290016145, 0.6218878342111849, 3.2053167274899645, -0.3461004368922526, -0.18470434397791344]",0.7469238461878561,0.6891932152035638,0.0577306309842923,0.6891932152035638,0.6891932152035638,1.2373877527038526,1.1789233803832009,0.086884440145172,0.9063891908810756,0.185649749356953,1.0920389402380286,0.2530761538121439,0.3108067847964361,0.0577306309842922,0.1024087301309312,0.1058769389080273,0.003468208777096,0.4046557867595393,0.3406519551282375,13.26108948464794,1.033339940466956,1.1225792056474662,14.347620775921508,0.1,0.0523255813953488,0.0523255813953488,0.1,True,0.1,True,True,0.9999999999999996,240,240,241,0.6996756820008159,121.921875,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,True,SUCCESS,,True,0e87433b5b33ad10b58affe40162e1cbdbcd4bcb5ec45d9bd38c6222a5549a2f,normalized_mean_energy_H_C,False
phase2-p3-6f22e12b8980a4c400ed,PREREGISTERED_HELDOUT_OBJECTIVE_CONFIRMATION,task-v2-07632e755d52,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D3,7,1.630088714928206,0.0234375,O3,CVAR_ENERGY,exact_weighted_lowest_energy_CVaR_alpha_0.10,TAIL_FOCUSED_ROUTING_OBJECTIVE,3,COBYLA,240,1103,phase2-p2-3b825b9d54e025a840d3,1.2373877527038526,selected_p2_then_append_zero_gamma3_beta3,"[2.250200247560789, 4.270793580028745, 0.0, 3.151499755542524, -0.47765860019613887, 0.0]","[2.250200247560789, 4.270793580028745, 0.5, 3.151499755542524, -0.47765860019613887, 0.0]","[2.250200247560789, 4.270793580028745, 0.0, 3.151499755542524, -0.47765860019613887, 0.0]",0.0523255813953488,0.0523255813953488,0.0,0.0523255813953488,0.0523255813953488,1.2373877527038526,1.2373877527038526,0.082499420132426,0.969408775763208,0.1854795568082185,1.1548883325714263,0.2530761538121439,0.2530761538121439,0.0,0.1024087301309312,0.1024087301309312,0.0,0.4046557867595393,0.4046557867595393,10.797915895984806,1.033339940466956,1.033339940466956,13.872253996860014,0.1,0.0523255813953488,0.0523255813953488,0.1,True,0.1,True,True,1.0,30,30,31,0.0648203482851386,121.9375,0,Return from COBYLA because the trust region radius reaches its lower bound.,True,SUCCESS,,True,0e87433b5b33ad10b58affe40162e1cbdbcd4bcb5ec45d9bd38c6222a5549a2f,normalized_mean_energy_H_C,False
phase2-p3-85e64c3f9c2d403d72f3,PREREGISTERED_HELDOUT_OBJECTIVE_CONFIRMATION,task-v2-6dd269836f23,g-c45ecbe0242c6377,v2-S1-b003-g-c45ecbe0242c6377,S1,D1,7,2.1072099696478683,0.0078125,O0,MEAN_ENERGY,E_theta[H_C],STANDARD_BASELINE,3,COBYLA,240,2207,phase2-p2-c687afccc16d9e4ce57a,1.698823523029137,selected_p2_then_append_zero_gamma3_beta3,"[5.4840160911681926, 3.921779898007851, 0.0, 2.590006968364096, 0.17627867531941416, 0.0]","[5.681612059293258, 3.941956034173582, -0.028062425084404072, 2.597131238164274, 0.14527893992165747, 0.015395166726162384]","[5.681612059293258, 3.941956034173582, -0.028062425084404072, 2.597131238164274, 0.14527893992165747, 0.015395166726162384]",1.698823523029137,1.6905861842243344,0.0082373388048027,1.6905861842243344,1.6905861842243344,1.698823523029137,1.6905861842243344,0.0956037300637432,1.0786752208740138,0.5163072332865775,1.5949824541605913,0.0764113338463789,0.0774452607328261,0.0010339268864472,0.0764113338463789,0.0774452607328261,0.0010339268864472,1.0,1.0,9.912993373801742,0.9903677504993964,0.9962048158805032,18.0,0.1,0.3286769199241653,1.0979047512261586,0.077445260732826,False,0.0225547392671739,True,True,1.000000000000001,240,240,241,0.734957741573453,121.91796875,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,True,SUCCESS,,True,0e87433b5b33ad10b58affe40162e1cbdbcd4bcb5ec45d9bd38c6222a5549a2f,normalized_mean_energy_H_C,False
