attack_id,attack,validity,response,evidence,required_manuscript_change,remaining_weakness
R01,This is just Grover/BBBV.,PARTLY_VALID,Acknowledge the asymptotic black-box core explicitly; claim only scoped formulations/applications while priority remains unresolved.,PA01-PA06;C-T1;C-T2,Move full proofs to appendix and center held-out evidence.,Exact posterior/phase forms still need independent literature review.
R02,Raw feasible fraction is encoding-dependent.,VALID,Agree; T5-T6 prove this boundary and the manuscript separates phi_state from phi_path.,C-T5;C-T6;F1;F2,Introduce representation distinction before any dilution plot.,Empirical edge-bit behavior remains representation-specific.
R03,The RCSP lower bound is only an oracle/input-query result.,VALID,State explicit topology plus explicit length-K attribute array under counted random access; do not claim RAM time.,C-T7,Put the access model in theorem title and caption.,Natural explicit-RCSP time lower bounds remain open.
R04,CVaR has already been used in QAOA.,VALID,"Cite Barkoutsos et al.; the contribution is controlled RCSP attribution and held-out confirmation, not CVaR invention.",PA21;C-E4-OBJDISC;C-E5-H1,Remove novelty verbs around CVaR.,Domain generality remains limited.
R05,O2 directly optimizes feasibility and is not deployable.,VALID,Present O2 only as an exact-feasibility capacity ceiling.,C-E4-OBJDISC;C-E5-H2,Label O2 MECHANISTIC CEILING in every visual.,The ceiling depends on exact feasible labels.
R06,The empirical result covers only Penalty-X p=3.,VALID,Restrict confirmatory claims to the frozen p=3 Penalty-X setting; depth pilot is exploratory.,C-E2-PILOT;C-E5-H1,Add scope sentence in abstract and limitations.,No mixer/ansatz generality is established.
R07,The scaling law failed at m=20/22.,VALID_IN_SUBSTANCE,Report an m=20 objective-order reversal and m=22 resource censoring; call Phase 3 a heterogeneous scaling response.,C-E6-SCALING,Use censor marks and avoid law language.,Upper-size behavior remains unresolved.
R08,Classical optimization dominates the story.,PARTLY_VALID,"Show optimizer attribution as a necessary mechanism, record wall time separately, and avoid excluding classical bottlenecks.",C-E3-OPT;C-COST,Include optimizer diagnostics and cost ledger.,No end-to-end quantum/classical advantage analysis.
R09,Structure advice bits are not runtime.,VALID,Agree; b_eff is only posterior concentration and the ledger keeps compute/gates/queries orthogonal.,C-T11;C-COST,Use necessary-condition labels.,Computing useful S remains open.
R10,Feasible-subspace mixers may solve feasibility by construction.,VALID,They escape the membership-only full-space setup by stronger structure/state preparation; charge construction and preparation costs.,PA19;PA20;C-COST,Add method matrix and oracle-simulation qualification.,No universal lower bound for those richer methods.
R11,No quantum hardware was tested.,VALID,Describe exact-statevector evidence and algorithmic mechanism only.,C-E5-H1;C-E6-SCALING,State in abstract/limitations and avoid deployment claims.,Noise and hardware compilation are untested.
R12,The benchmark is synthetic.,VALID,Use controlled DAGs as a causal/diagnostic benchmark and avoid prevalence claims.,C-E0-UNIVERSE,Explain construction purpose and publish manifests.,External RCSP validity remains open.
R13,The same author designed and audited all proofs.,VALID,Label this SECOND_PASS_MACHINE_AUDIT and require independent human proof and prior-art review before submission.,second_pass_proof_review.csv,Add external-review gate prominently.,No independent review has yet occurred.
R14,The theory and experiment use different information-access models.,VALID,"Make the difference an organizing feature: membership-only bounds define a boundary, while CVaR uses rich cost information.",C-LIM-MODELS;C-E5-TAIL,Add F1 and a model contract table.,Theory does not directly lower-bound empirical runtime.
