run_id,task_id,graph_id,size_stratum,m,dilution_score,optimizer,objective,alpha,depth,seed,nfev_budget,actual_nfev,scipy_reported_nfev,nfev_accounting_match,nit,success,status,message,termination_reason,wall_time_s,initial_parameters,terminal_parameters,objective_value,mean_energy,P_feas,P_opt,P_opt_given_feas,G_feas
a1-0099a0b41a9041b46f08,task-v2-59a464f36e13,g-bd62d2d752385cc7,S4,16,4.816479930623699,COBYLA,O3,0.1,2,1103,120,120,120.0,True,89,False,3.0,Return from COBYLA because the objective function has been evaluated MAXFUN times.,EVALUATION_BUDGET_EXHAUSTED,5.2985494416207075,"[1.4361119332668082, 4.6766136583430296, 1.8287983773432719, 0.554097077555417]","[2.968005530948961, 5.561300265167682, 0.07330295732358079, -0.6609398768118496]",1.0224504103141332,1.8084114760690506,0.0036116592640952467,0.0036116592640952467,1.0,2.3741867014170364
a1-00c681b4411d2d97aa7f,task-v2-ac528a9510be,g-a712031e7959d564,S3,13,3.311329952303793,SLSQP,O3,0.1,3,2207,120,120,,True,15,False,,strict objective-evaluation budget 120 reached,EVALUATION_BUDGET_EXHAUSTED,0.45610316284000874,"[4.119365739193051, 4.0465795222369225, 3.073929981122659, 0.28561357469155796, 1.0467419303334264, 1.2456798648809793]","[4.379438438616483, 4.829282370013897, 3.1175168604680095, -0.23350335445508125, 1.2426761516045555, 1.4522581261965182]",0.524425871842417,1.7790701475563782,0.052938452497190036,0.015973243489936364,0.3017323464599616,2.0351011941094317
a1-00e73b97e8c86895c095,task-v2-4e78b3f98433,g-553bb3c5ba0f2136,S1,7,2.1072099696478683,SLSQP,O0,0.1,3,3301,120,120,,True,16,False,,strict objective-evaluation budget 120 reached,EVALUATION_BUDGET_EXHAUSTED,0.04259680397808552,"[2.8746040698350956, 3.2295534178963874, 2.6762166453631315, 0.4324890662459698, 2.8286472419409745, 2.8565676468058108]","[1.2201453543684937, 2.370414416474678, 2.1798994864117027, 0.3635865116832161, 3.789060238686515, 1.639632133274638]",1.577419451539145,1.577419451539145,0.02287263843948206,0.02287263843948206,1.0,0.46652623454389863
a1-0118fdeef3b5ba98ff5c,task-v2-ac528a9510be,g-a712031e7959d564,S3,13,3.311329952303793,COBYLA,O3,0.1,2,1103,120,120,120.0,True,92,False,3.0,Return from COBYLA because the objective function has been evaluated MAXFUN times.,EVALUATION_BUDGET_EXHAUSTED,0.5017414418980479,"[1.4361119332668082, 4.6766136583430296, 1.8287983773432719, 0.554097077555417]","[3.2127898212174952, 4.599879006357423, 2.4570837362579914, 0.1659476122742905]",0.8345811994718667,1.9285230832180824,0.025017220327826776,0.005199677861582555,0.20784394882587848,1.7095690057287463
a1-013477fb934c6a545499,task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,S4,16,4.816479930623699,COBYLA,O0,0.1,3,3301,120,120,120.0,True,95,False,3.0,Return from COBYLA because the objective function has been evaluated MAXFUN times.,EVALUATION_BUDGET_EXHAUSTED,8.148667883127928,"[2.8746040698350956, 3.2295534178963874, 2.6762166453631315, 0.4324890662459698, 2.8286472419409745, 2.8565676468058108]","[2.9712048433742897, 4.084295367895024, 1.7379933636358305, 0.5602681811461172, 2.188676788923669, 2.9487011976734823]",1.687708994698113,1.687708994698113,0.0036590135346008463,0.0036590135346008463,1.0,2.379843946557858
a1-01396398eb96f5e6656e,task-v2-c5ed7c8b71f4,g-a712031e7959d564,S3,13,3.135238693248112,Nelder-Mead,O3,0.1,2,2207,120,120,120.0,True,69,False,1.0,Maximum number of function evaluations has been exceeded.,EVALUATION_BUDGET_EXHAUSTED,0.29714714642614126,"[4.119365739193051, 4.0465795222369225, 1.5369649905613294, 0.28561357469155796]","[6.951687690403519, 4.573028094538201, 2.563567932732404, 0.1762227124619098]",0.047330240418756706,1.2999945360042093,0.11651882155404641,0.0244498818395639,0.2098363295600531,2.2016347768662636
a1-014c433986853e6908d7,task-v2-c5ed7c8b71f4,g-a712031e7959d564,S3,13,3.135238693248112,COBYLA,O3,0.1,3,3301,120,120,120.0,True,92,False,3.0,Return from COBYLA because the objective function has been evaluated MAXFUN times.,EVALUATION_BUDGET_EXHAUSTED,0.6256206212565303,"[2.8746040698350956, 3.2295534178963874, 2.6762166453631315, 0.4324890662459698, 2.8286472419409745, 2.8565676468058108]","[2.721706733678913, 3.9759887838433823, 3.333015449925038, 0.19895347408989789, 2.7401954121533425, 2.7812385334565954]",0.12961176969735344,1.681565736079886,0.09147764726246513,0.03825298494058008,0.41816756426655444,2.096553679593094
a1-0156beef18a45242fa09,task-v2-6996479d6302,g-60667963f6db3f1b,S2,10,2.4082399653118496,Nelder-Mead,O3,0.1,3,3301,120,120,120.0,True,73,False,1.0,Maximum number of function evaluations has been exceeded.,EVALUATION_BUDGET_EXHAUSTED,0.11032229661941528,"[2.8746040698350956, 3.2295534178963874, 2.6762166453631315, 0.4324890662459698, 2.8286472419409745, 2.8565676468058108]","[2.7502606940716703, 3.9503133788834566, 3.38863464469979, 0.5727700909475072, 2.58742246705397, 2.754402741716644]",0.2164436753664962,1.7134185855105972,0.08878957936972688,0.027772105147630215,0.3127856370620358,1.3566019638856537
a1-016ef7c2e6f63065e43e,task-v2-9f1427c2fbd8,g-3ff7063ef9ea5cfb,S4,16,4.038328680240055,COBYLA,O0,0.1,3,2207,120,120,120.0,True,94,False,3.0,Return from COBYLA because the objective function has been evaluated MAXFUN times.,EVALUATION_BUDGET_EXHAUSTED,5.797325358726084,"[4.119365739193051, 4.0465795222369225, 3.073929981122659, 0.28561357469155796, 1.0467419303334264, 1.2456798648809793]","[5.447360224856442, 4.743764009415709, 3.0533077037355296, 0.8414928754735614, -0.026125172621001502, 2.0327177178012272]",1.2828260233087379,1.2828260233087379,0.0032872178479081853,0.0016066476893287838,0.4887560738790619,1.5551571664967287
a1-01735e2cfbac124dda2a,task-v2-5b5a3995de2b,g-bd62d2d752385cc7,S4,16,4.11750992628768,SLSQP,O0,0.1,2,1103,120,106,106.0,True,20,True,0.0,Optimization terminated successfully,EARLY_CONVERGENCE,3.2170152170583606,"[1.4361119332668082, 4.6766136583430296, 1.8287983773432719, 0.554097077555417]","[3.1538662011259677, 4.495758525681391, 3.159649455597186, -0.7530010279884587]",1.4203205970759858,1.4203205970759858,0.006655133772713295,0.0024446513935619564,0.3673331712106627,1.9406667158004505
