visual_id,main_or_supplement,scientific_question,source_data,claim_ids,plot_type,required_annotations,risk_of_misinterpretation,status
F1,MAIN,"How do explicit RCSP, edge-bit states and candidate-route queries differ?",docs/theory;synthetic schematics only,C-T5;C-T7;C-LIM-MODELS,three-domain schematic,Label input size and access model on every domain,Could imply a direct theorem transfer,PLANNED
F2,MAIN,Why is raw phi_state representation-dependent?,results/theory_validation_v3/raw_phi_counterexamples.csv;representation_padding_validation.csv,C-T5;C-T6,chain/padding two-panel,Show O(m) output cost and unchanged logical routes,Could be mistaken for exponential problem hardness,SOURCE_READY
F3,SUPPLEMENT,What does the membership-only hard-cap bound say?,results/theory_validation_v1;results/theory_validation_v2,C-T1;C-T2,bound curves,Average-prior and membership-only labels,Could be applied to rich RCSP,SOURCE_READY
F4,MAIN,How must posterior structure and query access trade off?,results/theory_validation_v3/effective_structure_examples.csv,C-T8;C-T9;C-T11,tradeoff contours,Necessary-only annotation,Advice bits could be read as runtime,SOURCE_READY
F5,MAIN,"How were discovery, scale control, attribution and holdout separated?",protocols;manifests;phase summaries,C-E0-UNIVERSE;C-E1-SCALE;C-E2-PILOT;C-E3-OPT;C-E4-OBJDISC,pipeline/timeline,Discovery and held-out colors; no pooled estimate,May imply prospective status for discovery,PLANNED
F6,MAIN,Did held-out O3 improve compensation and approach O2?,results/phase2_confirmatory_v1/graph_level_contrasts.csv,C-E5-H1;C-E5-H2,graph-paired forest/raincloud,"Graph unit, lower bounds, noninferiority margin",Task pseudo-replication,SOURCE_READY
F7,MAIN,Did feasible entry trade off with conditional route optimality?,results/phase2_confirmatory_v1/task_level_contrasts.csv,C-E5-POPT;C-E5-TAIL,P_opt decomposition,Identity P_opt=P_feas*P_opt|feas,Causal mechanism overstatement,SOURCE_READY
F8,MAIN,Does the response persist at larger controlled sizes?,results/phase3_scaling_v1/canonical_results.csv;extrapolation_validation.csv;failure_census.csv,C-E6-SCALING;C-E6-BOTTLENECK,faceted scaling response,m=22 censored band; m=20 reversal callout,Could look like a fitted global law,SOURCE_READY
F9,MAIN,Where does structure injection move burden?,results/theory_validation_v3/structure_cost_method_matrix.csv,C-COST,resource-flow map,MEASURED/DERIVED/UNKNOWN labels,Could imply a scalar cost theorem,SOURCE_READY
T1,MAIN,"What evidence is discovery, held-out, theory or censored?",results/synthesis_v1/empirical_evidence_matrix.csv,C-E0-UNIVERSE;C-E5-H1;C-E5-H2;C-E6-SCALING,evidence-stage table,Inference tier and claim ceiling,Stage boundaries could be lost,PLANNED
T2,MAIN,What are the controlled task/objective definitions?,configs;protocols;phase reports,C-E0-UNIVERSE;C-E1-SCALE,design table,Frozen hashes and objective roles,O2 deployability confusion,PLANNED
T3,MAIN,What did optimizer attribution establish?,results/phase1_1_optimization_diagnostic/summary.json,C-E3-OPT,diagnostic summary,Counts and claim ceiling,Could imply all failures repaired,PLANNED
T4,MAIN,What are the preregistered H1/H2 estimates?,results/phase2_confirmatory_v1/confirmatory_statistics.json,C-E5-H1;C-E5-H2,confirmatory statistics table,"Units, graph n, multiplicity",Mixing task and graph units,SOURCE_READY
T5,SUPPLEMENT,Which Phase-3 cells were completed or censored?,results/phase3_scaling_v1/failure_census.csv,C-E6-SCALING,completion/censor table,Resource reason,Censoring could be mistaken for failure,SOURCE_READY
T6,SUPPLEMENT,Which structure methods relocate which costs?,results/theory_validation_v3/structure_cost_method_matrix.csv,C-COST,method ledger,Evidence-status legend,Unknown costs could be inferred as zero,SOURCE_READY
