result_id,statement,status,assumptions,independent_derivation_summary,existing_proof_comparison,edge_cases,identified_risk,required_repair,paper_wording
T1,Average fixed-query phase-sensitive dilution bound with coefficient (1+sum_t |exp(-i gamma_t)-1|)^2 phi and probability cap,PASS,Uniform size-M subset of N labels; fixed F-independent initial state and inter-query unitaries; fixed phase schedule; success means measuring a marked label,"Compare to the identity-oracle reference evolution. A slot changes the state by c_t times its marked-reference component. Uniform-subset averaging gives expected squared marked overlap phi; L2 Minkowski across slots and at the final projector gives (1+sum c_t)sqrt(phi), then square and cap at one.",Matches the Theory-v1 hybrid proof; the reconstructed proof uses the same two Minkowski steps and no pointwise overlap claim.,M=0 gives zero success by separate convention; M=N gives a vacuous cap; q=0 gives average success at most phi.,"The theorem is average over F, not pointwise; phases and all nonquery operations must be F-independent.",NONE,"For a uniform random size-M marked subset and a fixed membership-query circuit, average success is bounded by the phase-sensitive expression."
T2,"Adaptive hard-cap membership-query dilution bound E P_success <= min{1,(2q+1)^2 phi}",PASS_WITH_CLARIFICATION,At most q counted membership queries on every execution path; all other F-dependence excluded; finite classical histories can be purified and deferred,"Purify mixed states, measurements and feed-forward into orthogonal history registers. Pad early-stopping branches with queries on isolated scratch registers. The direct-sum controlled query differs from identity by operator norm at most two on the marked subspace, so the same reference-hybrid recurrence gives (2q+1)sqrt(phi).",Agrees with Theory-v2. Its branch-dependent-phase statement is valid only when the history-controlled operation is itself the counted query interface and branches remain coherently isolated.,q=0; early stopping; mixed inputs; internal randomness; deferred measurements; fixed hard cap rather than expected query count.,Calling an arbitrarily stronger history-controlled oracle one membership query would change the model.,Clarify the direct-sum counted-query interface in the manuscript; no historical correction.,"The hard-cap bound covers adaptive measurements and feed-forward after purification, provided every oracle-dependent slot is charged as membership access."
T3,"Trained-algorithm specialization with q_total equal to all training, sampling, feedback and final membership queries",PASS_WITH_CLARIFICATION,Complete end-to-end interaction has a pathwise membership-query cap; no free F-dependent training data or rich cost oracle,"Treat the training transcript, optimizer state, samples, feedback and final execution as one adaptive protocol. T2 applies to their total counted membership calls regardless of where classical storage separates stages.",Matches Theory-v2 trained-oracle reduction and Theory-v3 query-generated-advice qualification.,Cached query-generated advice remains charged; instance-independent parameter reuse is free of F-dependence; explicit rich attributes are outside the membership-only model.,The result does not lower-bound final trained circuit depth or classical optimization time.,Use total membership-query wording throughout.,"The constraint is on end-to-end membership access, not on the depth of the final trained circuit."
T4,"Expected-query truncation: E P <= min{1, qbar/(T+1)+min[1,(2T+1)^2 phi]} for every integer T>=0",PASS_WITH_CLARIFICATION,Global mean qbar=E Q over instance and internal randomness; nonnegative integer query count; T deterministic,"Split on Q<=T. Replace executions exceeding T by failure to obtain a hard-cap-T protocol, apply T2 to the first event, and use Markov Pr(Q>T)=Pr(Q>=T+1)<=qbar/(T+1).",Matches the Theory-v2 correction and rejects the false substitution q=E Q.,T integer; qbar=0; phi=0 by separate convention; the asymptotic Omega(phi^-1/2) corollary needs fixed positive target success and sufficiently small phi.,Substituting qbar directly into (2q+1)^2 is invalid because the square is convex.,Print the truncation inequality before any asymptotic corollary.,"Expected-query control follows by truncation and a tail term, not by replacing the hard cap with the mean."
T5,Raw edge-bit feasible-state fraction alone cannot imply a universal explicit-RCSP lower bound,PASS,Explicit adjacency-list graph and rational nonnegative attributes; output is an explicit source-target edge sequence,"An m-edge directed chain has one feasible route and edge-bit density 2^-m, yet reading and outputting the only route costs Theta(m). This contradicts any universal c*phi_state^-1/2 lower bound for large m.",Matches Theory-v3 unique-chain theorem and preserves the distinction between explicit problem complexity and an edge-qubit algorithm's behavior.,m>=1; positive costs/resources; output length itself is Theta(m).,The counterexample does not show that dilution is irrelevant to a particular full-space QAOA implementation.,NONE,"Raw edge-bit density is representation-dependent and is not, by itself, an explicit-RCSP hardness parameter."
T6,Serial edge-subdivision representation-padding lemma with phi_state(I^(r))=2^-(r-1) phi_state(I),PASS_WITH_CLARIFICATION,A selected directed edge is replaced by a private r-edge serial path; additive rational attributes are split exactly,"Contracting or expanding the private serial path gives a route bijection. Split each additive coefficient as a/r across the r edges, preserving totals, feasibility, ordering and optima. The valid-route numerator is fixed while edge count increases by r-1.","Matches Theory-v3. Coefficient bit length grows by O(log r), while the explicit topology and total input length grow Theta(r); only the per-coefficient representation is logarithmic in r.",Zero coefficients; rational coefficients; routes not using the subdivided edge; disconnected edge-bit selections remain invalid.,Polynomially representable coefficients must not be misreported as a poly(log r)-size explicit graph.,Clarify per-coefficient versus total explicit input growth.,Subdivision changes raw state density by an exponential-in-padding factor while preserving the route problem under linear-time conversion.
T7,"Explicit-attribute random-access RCSP subclass has Q_RCSP,tau(K,M)=Theta_tau(sqrt(K/M)) in the nontrivial target regime",PASS_WITH_CLARIFICATION,Known K-branch topology; length-K explicit status array accessed only through counted quantum random access; 1<=M<=K; fixed target success tau,Set branch resource totals to two iff z_i=1 and three otherwise. A feasible route identifies a marked index and one attribute query checks a branch. Multiple-marked search gives the lower bound and amplitude amplification gives the upper bound.,"Matches Theory-v3. It is an input-query/cell-probe reduction on Theta(K) entries, not an explicit-RAM time lower bound or an exponential lower bound in log K.",M=K needs zero queries; for M/K>=tau a zero-query random branch already meets target; exact-feasible-output or tau>M/K gives the nontrivial form.,Free access to the full array defeats this query accounting; phi_path=M/K differs from phi_state=M/2^(2K).,State the target-success regime alongside every Theta expression.,"Under counted random access to an explicit length-K attribute array, the parallel-branch subclass inherits multiple-marked search complexity."
T8,Posterior structure theorem with Lambda(S)=E_S ||E[Pi_F|S]||_infinity,PASS_WITH_CLARIFICATION,Uniform size-M prior before a classical structure channel; hard cap q after S; post-S operations may depend on S but residual F-dependence is membership-only,"Condition on S=s. The posterior projector is diagonal with entries Pr(x in F|s), so its norm is the largest posterior membership marginal. Each normalized s-dependent identity-oracle reference has conditional expected marked weight at most lambda_s. The purified hybrid proof then yields min{1,C(s)^2 lambda_s}; averaging and c_t<=2 gives min{1,(2q+1)^2 Lambda}.",Matches Theory-v3; the cap remains inside the conditional expectation until the valid coarser averaging step.,Zero-probability advice values omitted; constant S returns Lambda=phi; M=0 handled separately; M=N is vacuous.,Expectation and operator norm cannot be interchanged; a global phase-sensitive coefficient requires an S-uniform bound.,Spell out conditional independence and distinguish E[min] from min of an upper expectation.,"Classical structure changes the barrier through the largest posterior membership marginal, averaged over advice outputs."
T9,"Finite classical advice: Lambda(S)<=min{1,2^b phi} and P_success<=min{1,(2q+1)^2 2^b phi}",PASS_WITH_CLARIFICATION,"Classical advice support cardinality at most 2^b; b is an integer alphabet-size bound, not mutual information","For each supported s choose a maximizing label x_s. Sum Pr(S=s,x_s in F), upper-bound each joint event by Pr(x_s in F)=phi, and count at most 2^b supported outputs. Repeated x_s values only make this union-free sum looser.",Matches Theory-v3 proof and its duplicate-label audit.,b=0; advice names a marked element; duplicate maximizers; 2^b phi>=1; logarithmic lower bound clipped at zero before applying the ceiling.,Shannon or mutual information alone does not establish the same support bound.,Call b a support-size or finite-alphabet bound.,An advice alphabet of at most 2^b outputs can increase posterior concentration by at most 2^b.
T10,One-shot finite-dimensional pre-search quantum advice bound with total accessible advice dimension d,PASS_WITH_CLARIFICATION,One F-dependent density operator on a total d-dimensional accessible register is supplied before search; all later F-dependence is counted membership access,"Use a canonical purification of each density operator and carry an inaccessible reference through the analysis. Since rho_F<=I_d, any F-independent completely positive trace-nonincreasing reference map has average marked weight at most phi Tr A(I_d)<=d phi. The conditional hybrid step then gives the d-fold concentration factor without a d^2 loss.",Matches the Theory-v3 finite-dimensional argument. Mixed advice and entanglement with an inaccessible purifying reference are covered because only the accessible support dimension is counted.,"d=1; mixed states; inaccessible purification; d phi>=1. Fresh copies, refreshed advice and interactive F-dependent providers are not covered.",Counting each refreshed d-dimensional message as though it were the same one-shot state would widen the theorem without proof.,Use the phrase one pre-search advice state of total accessible dimension d.,A one-shot d-dimensional advice register is covered; repeated or interactive quantum advice remains outside the proved model.
